Car_ID,Car_Overall,Ranking
172,6,1
186,6,1
83,6,1
104,4,2
118,4,2
12,4,2
124,4,2
127,4,2
128,4,2
142,4,2
175,4,2
21,4,2
216,4,2
218,4,2
228,4,2
232,4,2
23,4,2
25,4,2
31,4,2
33,4,2
3,4,2
36,4,2
38,4,2
39,4,2
41,4,2
43,4,2
48,4,2
49,4,2
5,4,2
57,4,2
65,4,2
84,4,2
9,4,2
10,2,3
1051,2,3
106,2,3
108,2,3
11,2,3
112,2,3
113,2,3
116,2,3
1,2,3
120,2,3
134,2,3
137,2,3
140,2,3
145,2,3
15,2,3
158,2,3
161,2,3
178,2,3
179,2,3
180,2,3
18,2,3
182,2,3
187,2,3
189,2,3
19,2,3
200,2,3
207,2,3
211,2,3
219,2,3
22,2,3
24,2,3
30,2,3
34,2,3
37,2,3
42,2,3
4341,2,3
44,2,3
45,2,3
46,2,3
50,2,3
51,2,3
52,2,3
53,2,3
56,2,3
59,2,3
6,2,3
63,2,3
76,2,3
78,2,3
81,2,3
8,2,3
88,2,3
91,2,3
93,2,3
Vip,2,3
