Ranking	Car_ID	Year	Make	Model	Total
1	112	2008	Acura	TL	110
2	50	2015	Acura	TLX	102
3	127	2013	Acura	Tsx	86
4	15	2014	Audi	S4	120
5	18	2015	Audi	S3	38
6	116	2008	Audi	A4	28
7	2	2016	Bmw	M2	24
8	172	2014	Bmw	4	22
9	111	2007	Bmw	328i	10
10	218	2010	Chevy	Camaro	64
11	170	2014	Chevy	Cruze	50
12	0	2015	Chevy	Camaro	0
13	216	2007	Chrystler	300	96
14	42	2001	Dodge	Viper	8
15	167	2016	Ford	Mystang	20
16	120	2014	Ford	Focus	st
17	219	2016	Ford	Focus	rs
18	137	2017	Ford	Focus	rs
19	83	2014	Honda	Accord	112
20	65	2009	Honda	Fit	106
21	31	2007	Honda	Fit	102
22	30	2012	Hyundai	Celoster	66
23	38	2017	Hyundai	Elantra	sport
24	92	2017	Hyundai	Elantra	sport
25	159	2013	Hyundai	Gen	coupe
26	128	2010	Infiniti	G37	128
27	122	2011	Infiniti	M37s	44
28	20	2009	Infiniti	G37	38
29	124	2015	Jeep	Wrangler	124
30	123	2006	Lexus	Sc430	66
31	222	2015	Lexus	Is250	40
32	190	1995	Lexus	Sc300	10
33	Car_ID	Year	Make	Model	Total
34	78	2015	Mazda	6	36
35	141	1993	Mazda	Miata	26
36	79	1993	Mazda	Miata	18
37	25	2012	Mercedes	C250	78
38	84	2012	Mercedes	Cl63amg	70
39	17	2016	Mercedes	C43	34
40	91	2010	Mitsu	Lancer	102
41	140	1995	Mitsu	Evo8	44
42	176	2014	Mitsu	Lancer	40
43	19	2001	Mitsu	Evo7	40
44	228	2010	Nissan	370	92
45	161	2012	Nissan	370z	84
46	3	2011	Nissan	370	84
47	158	2007	Nissan	350z	64
48	57	2015	Scion	Frs	80
49	235	2013	Scion	Frs	20
50	36	2016	Subaru	WRX	74
51	33	2015	Subaru	Sti	68
52	21	2009	Subaru	WRX	62
53	23	1998	Subaru	Legacy	62
54	142	1993	Toyota	Supra	58
55	110	2011	Toyota	Camry	58
56	241	2007	Toyota	Camry	24
57	243	2008	Toyota	Matrix	10
58	126	2010	Volkswagen	Eos	92
59	180	2011	Volkswagen	Gti	82
60	156	2014	Volkswagen	Gli	56
61	100	2006	Volvo	S60r	22
