Volvo                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2006              , Volvo             , S60r              , 100               , 22                , 6                 ,8                 , 6                 , 2                 , 0                 , 0                 , 115                

Mitsu                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2010              , Mitsu             , Lancer            , 91                , 102               , 8                 ,24                , 24                , 38                , 6                 , 2                 , 10                 
2                 , 1995              , Mitsu             , Evo8              , 140               , 44                , 8                 ,10                , 10                , 14                , 0                 , 2                 , 63                 
3                 , 2014              , Mitsu             , Lancer            , 176               , 40                , 0                 ,2                 , 12                , 22                , 4                 , 0                 , 75                 

Scion                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2015              , Scion             , Frs               , 57                , 80                , 16                ,20                , 14                , 22                , 4                 , 4                 , 21                 
2                 , 2013              , Scion             , Frs               , 235               , 20                , 2                 ,2                 , 6                 , 8                 , 2                 , 0                 , 120                

Mazda                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2007              , Mazda             , Speed 3           , 52                , 48                , 6                 ,10                , 8                 , 20                , 2                 , 2                 , 59                 
2                 , 2015              , Mazda             , 6                 , 78                , 36                , 2                 ,6                 , 14                , 12                , 0                 , 2                 , 85                 
3                 , 1993              , Mazda             , Miata             , 141               , 26                , 0                 ,0                 , 6                 , 18                , 2                 , 0                 , 104                

Nissan               
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2010              , Nissan            , 370               , 228               , 92                , 14                ,20                , 16                , 34                , 4                 , 4                 , 12                 
2                 , 2012              , Nissan            , 370z              , 161               , 84                , 4                 ,10                , 24                , 38                , 6                 , 2                 , 18                 
3                 , 2011              , Nissan            , 370               , 3                 , 84                , 16                ,16                , 20                , 24                , 4                 , 4                 , 19                 

Chevy                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2010              , Chevy             , Camaro            , 218               , 64                , 12                ,16                , 10                , 18                , 4                 , 4                 , 33                 
2                 , 2014              , Chevy             , Cruze             , 170               , 50                , 0                 ,0                 , 18                , 28                , 4                 , 0                 , 55                 
3                 , 2015              , Chevy             , Camaro            , 0                 , 0                 , 0                 ,0                 , 0                 , 0                 , 0                 , 0                 , 165                

Acura                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2012              , Acura             , Tsx sportwagon    , 113               , 116               , 6                 ,30                , 30                , 42                , 6                 , 2                 , 4                  
2                 , 2008              , Acura             , TL                , 112               , 110               , 4                 ,28                , 28                , 42                , 6                 , 2                 , 6                  
3                 , 2015              , Acura             , TLX               , 50                , 102               , 14                ,18                , 28                , 34                , 6                 , 2                 , 8                  

Dodge                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2001              , Dodge             , Viper             , 42                , 8                 , 0                 ,2                 , 2                 , 2                 , 0                 , 2                 , 148                

Lexus                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
