Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
2010              , Infiniti          , G37               , 128               , 128               , 18                ,26                , 26                , 48                , 6                 , 4                 , 1                  
2015              , Jeep              , Wrangler          , 124               , 124               , 12                ,24                , 30                , 48                , 6                 , 4                 , 2                  
2014              , Audi              , S4                , 15                , 120               , 12                ,26                , 28                , 46                , 6                 , 2                 , 3                  
2012              , Acura             , Tsx sportwagon    , 113               , 116               , 6                 ,30                , 30                , 42                , 6                 , 2                 , 4                  
2014              , Honda             , Accord            , 83                , 112               , 12                ,24                , 28                , 36                , 6                 , 6                 , 5                  
2008              , Acura             , TL                , 112               , 110               , 4                 ,28                , 28                , 42                , 6                 , 2                 , 6                  
2009              , Honda             , Fit               , 65                , 106               , 6                 ,26                , 22                , 42                , 6                 , 4                 , 7                  
2015              , Acura             , TLX               , 50                , 102               , 14                ,18                , 28                , 34                , 6                 , 2                 , 8                  
2007              , Honda             , Fit               , 31                , 102               , 14                ,24                , 24                , 30                , 6                 , 4                 , 9                  
2010              , Mitsu             , Lancer            , 91                , 102               , 8                 ,24                , 24                , 38                , 6                 , 2                 , 10                 
2007              , Chrystler         , 300               , 216               , 96                , 16                ,20                , 20                , 32                , 4                 , 4                 , 11                 
2010              , Nissan            , 370               , 228               , 92                , 14                ,20                , 16                , 34                , 4                 , 4                 , 12                 
2006              , Honda             , Civic             , 175               , 92                , 8                 ,26                , 22                , 28                , 4                 , 4                 , 13                 
2010              , Volkswagen        , Eos               , 126               , 92                , 0                 ,24                , 26                , 36                , 6                 , 0                 , 14                 
2016              , Honda             , Civic 1.5t        , 13                , 92                , 4                 ,22                , 24                , 36                , 6                 , 0                 , 15                 
2013              , Acura             , Tsx               , 127               , 86                , 4                 ,20                , 24                , 28                , 6                 , 4                 , 16                 
2010              , Honda             , Civic             , 63                , 86                , 4                 ,22                , 20                , 34                , 4                 , 2                 , 17                 
2012              , Nissan            , 370z              , 161               , 84                , 4                 ,10                , 24                , 38                , 6                 , 2                 , 18                 
2011              , Nissan            , 370               , 3                 , 84                , 16                ,16                , 20                , 24                , 4                 , 4                 , 19                 
2011              , Volkswagen        , Gti               , 180               , 82                , 4                 ,16                , 26                , 30                , 4                 , 2                 , 20                 
2015              , Scion             , Frs               , 57                , 80                , 16                ,20                , 14                , 22                , 4                 , 4                 , 21                 
2012              , Mercedes          , C250              , 25                , 78                , 6                 ,16                , 22                , 26                , 4                 , 4                 , 22                 
2007              , Acura             , Tl type s         , 106               , 78                , 8                 ,14                , 20                , 30                , 4                 , 2                 , 23                 
2016              , Subaru            , WRX               , 36                , 74                , 10                ,16                , 16                , 24                , 4                 , 4                 , 24                 
2009              , Honda             , Oddesy            , 178               , 72                , 6                 ,12                , 14                , 32                , 6                 , 2                 , 25                 
2011              , Honda             , Civic             , 39                , 72                , 6                 ,14                , 18                , 26                , 4                 , 4                 , 26                 
2010              , Acura             , Tsx               , 103               , 72                , 2                 ,12                , 18                , 36                , 4                 , 0                 , 27                 
2012              , Mercedes          , Cl63amg           , 84                , 70                , 12                ,16                , 14                , 22                , 2                 , 4                 , 28                 
2015              , Subaru            , Sti               , 33                , 68                , 8                 ,12                , 14                , 26                , 4                 , 4                 , 29                 
2012              , Hyundai           , Celoster          , 30                , 66                , 4                 ,20                , 20                , 16                , 4                 , 2                 , 30                 
2006              , Lexus             , Sc430             , 123               , 66                , 8                 ,18                , 10                , 26                , 4                 , 0                 , 31                 
2006              , Acura             , Tsx               , 1051              , 66                , 6                 ,16                , 12                , 26                , 4                 , 2                 , 32                 
2010              , Chevy             , Camaro            , 218               , 64                , 12                ,16                , 10                , 18                , 4                 , 4                 , 33                 
2012              , Acura             , Tsx               , 41                , 64                , 4                 ,14                , 16                , 24                , 2                 , 4                 , 34                 
2007              , Nissan            , 350z              , 158               , 64                , 4                 ,4                 , 16                , 32                , 6                 , 2                 , 35                 
2015              , Acura             , TLX               , 48                , 62                , 4                 ,14                , 12                , 24                , 4                 , 4                 , 36                 
2009              , Subaru            , WRX               , 21                , 62                , 6                 ,14                , 16                , 18                , 4                 , 4                 , 37                 
1998              , Subaru            , Legacy            , 23                , 62                , 2                 ,10                , 18                , 22                , 6                 , 4                 , 38                 
1990              , Nissan            , 240               , 12                , 62                , 4                 ,12                , 16                , 22                , 4                 , 4                 , 39                 
2017              , Hyundai           , Elantra sport     , 38                , 62                , 6                 ,16                , 14                , 22                , 0                 , 4                 , 40                 
2016              , Honda             , Civic             , 35                , 60                , 2                 ,12                , 14                , 28                , 4                 , 0                 , 41                 
2013              , Subaru            , WRX               , 53                , 60                , 8                 ,10                , 16                , 20                , 4                 , 2                 , 42                 
1993              , Toyota            , Supra             , 142               , 58                , 4                 ,8                 , 10                , 26                , 6                 , 4                 , 43                 
2011              , Toyota            , Camry             , 110               , 58                , 0                 ,12                , 24                , 18                , 4                 , 0                 , 44                 
2014              , Volkswagen        , Gli               , 156               , 56                , 0                 ,0                 , 24                , 28                , 4                 , 0                 , 45                 
2001              , Honda             , Crv               , 115               , 56                , 0                 ,10                , 16                , 26                , 4                 , 0                 , 46                 
2011              , Toyota            , 4 Runner          , 43                , 54                , 2                 ,12                , 16                , 16                , 4                 , 4                 , 47                 
2015              , Subaru            , Sti               , 37                , 54                , 6                 ,14                , 14                , 14                , 4                 , 2                 , 48                 
2017              , Ford              , Focus rs          , 137               , 54                , 10                ,14                , 12                , 16                , 0                 , 2                 , 49                 
2016              , Volkswagen        , Golf r            , 6                 , 54                , 6                 ,18                , 10                , 14                , 4                 , 2                 , 50                 
2013              , Subaru            , WRX               , 134               , 52                , 10                ,12                , 12                , 14                , 2                 , 2                 , 51                 
2016              , Acura             , TLX               , 225               , 52                , 0                 ,4                 , 12                , 32                , 4                 , 0                 , 52                 
2015              , Subaru            , WRX               , 51                , 50                , 6                 ,10                , 10                , 20                , 2                 , 2                 , 53                 
2003              , Acura             , Rsx               , 5                 , 50                , 6                 ,6                 , 6                 , 24                , 4                 , 4                 , 54                 
2014              , Chevy             , Cruze             , 170               , 50                , 0                 ,0                 , 18                , 28                , 4                 , 0                 , 55                 
2012              , Toyota            , Fj cruiser        , 189               , 50                , 2                 ,10                , 8                 , 26                , 2                 , 2                 , 56                 
2008              , Honda             , Accord            , 88                , 48                , 2                 ,10                , 14                , 16                , 4                 , 2                 , 57                 
2014              , Honda             , Civic si          , 104               , 48                , 6                 ,14                , 6                 , 16                , 2                 , 4                 , 58                 
2007              , Mazda             , Speed 3           , 52                , 48                , 6                 ,10                , 8                 , 20                , 2                 , 2                 , 59                 
2004              , Acura             , Tsx               , 211               , 48                , 0                 ,12                , 16                , 18                , 0                 , 2                 , 60                 
2018              , Subaru            , WRX               , 232               , 46                , 6                 ,6                 , 12                , 18                , 0                 , 4                 , 61                 
1991              , Nissan            , Skyline           , 8                 , 44                , 6                 ,4                 , 12                , 16                , 4                 , 2                 , 62                 
1995              , Mitsu             , Evo8              , 140               , 44                , 8                 ,10                , 10                , 14                , 0                 , 2                 , 63                 
2012              , Acura             , TL                , 121               , 44                , 2                 ,0                 , 18                , 20                , 4                 , 0                 , 64                 
1993              , Honda             , Civic             , 118               , 44                , 4                 ,4                 , 14                , 14                , 4                 , 4                 , 65                 
1996              , Nissan            , 240               , 9                 , 44                , 10                ,8                 , 4                 , 14                , 4                 , 4                 , 66                 
2011              , Infiniti          , M37s              , 122               , 44                , 2                 ,8                 , 6                 , 24                , 4                 , 0                 , 67                 
2017              , Honda             , Accord            , 85                , 42                , 0                 ,2                 , 16                , 20                , 4                 , 0                 , 68                 
2017              , Subaru            , Brz               , 153               , 42                , 0                 ,8                 , 20                , 12                , 2                 , 0                 , 69                 
2009              , Volkswagen        , Jetta             , 56                , 42                , 4                 ,10                , 10                , 14                , 2                 , 2                 , 70                 
1997              , Acura             , Integra           , 49                , 42                , 4                 ,12                , 6                 , 12                , 4                 , 4                 , 71                 
2006              , Acura             , TL                , 45                , 42                , 0                 ,10                , 10                , 18                , 2                 , 2                 , 72                 
2015              , Lexus             , Is250             , 222               , 40                , 0                 ,12                , 18                , 6                 , 4                 , 0                 , 73                 
1993              , Honda             , Civic eG          , 207               , 40                , 4                 ,10                , 10                , 14                , 0                 , 2                 , 74                 
2014              , Mitsu             , Lancer            , 176               , 40                , 0                 ,2                 , 12                , 22                , 4                 , 0                 , 75                 
2018              , Honda             , Civic si          , 44                , 40                , 4                 ,12                , 4                 , 16                , 2                 , 2                 , 76                 
2001              , Mitsu             , Evo7              , 19                , 40                , 6                 ,2                 , 8                 , 20                , 2                 , 2                 , 77                 
2009              , Infiniti          , G37               , 20                , 38                , 6                 ,4                 , 10                , 16                , 2                 , 0                 , 78                 
2014              , Honda             , Civic si          , 99                , 38                , 4                 ,6                 , 8                 , 16                , 4                 , 0                 , 79                 
1990              , Volkswagen        , Gti               , 145               , 38                , 6                 ,6                 , 8                 , 14                , 2                 , 2                 , 80                 
2004              , Volkswagen        , R32               , 179               , 38                , 12                ,14                , 6                 , 2                 , 2                 , 2                 , 81                 
2015              , Audi              , S3                , 18                , 38                , 4                 ,2                 , 10                , 18                , 2                 , 2                 , 82                 
2016              , Subaru            , WRX               , 200               , 36                , 0                 ,6                 , 10                , 16                , 2                 , 2                 , 83                 
2014              , Nissan            , 370z              , 162               , 36                , 4                 ,6                 , 4                 , 20                , 2                 , 0                 , 84                 
2015              , Mazda             , 6                 , 78                , 36                , 2                 ,6                 , 14                , 12                , 0                 , 2                 , 85                 
2001              , Nissan            , S15               , 10                , 34                , 2                 ,6                 , 8                 , 14                , 2                 , 2                 , 86                 
2016              , Mercedes          , C43               , 17                , 34                , 6                 ,8                 , 2                 , 16                , 2                 , 0                 , 87                 
1992              , Nissan            , Rps13             , 4341              , 32                , 6                 ,6                 , 2                 , 14                , 2                 , 2                 , 88                 
2008              , Volkswagen        , R32               , 46                , 32                , 2                 ,8                 , 6                 , 14                , 0                 , 2                 , 89                 
2013              , Subaru            , BRZ               , 24                , 32                , 2                 ,2                 , 16                , 8                 , 2                 , 2                 , 90                 
2014              , Nissan            , Sentra            , 7                 , 30                , 4                 ,2                 , 8                 , 12                , 4                 , 0                 , 91                 
2003              , Volkswagen        , Gti               , 181               , 30                , 4                 ,4                 , 6                 , 14                , 2                 , 0                 , 92                 
2014              , Ford              , Focus st          , 120               , 30                , 6                 ,4                 , 6                 , 10                , 2                 , 2                 , 93                 
2017              , Hyundai           , Elantra sport     , 92                , 30                , 2                 ,6                 , 14                , 8                 , 0                 , 0                 , 94                 
1991              , Nissan            , Skyline           , 11                , 30                , 4                 ,4                 , 2                 , 16                , 2                 , 2                 , 95                 
2012              , Volkswagen        , Golf              , 59                , 28                , 4                 ,8                 , 6                 , 8                 , 0                 , 2                 , 96                 
