Car_ID,Make,Model,Year,Racer_Total,Ranking
128,Infiniti,G37,2010,18,1
3,Nissan,370,2011,16,2
57,Scion,Frs,2015,16,2
216,Chrystler,300,2007,16,2
31,Honda,Fit,2007,14,3
50,Acura,TLX,2015,14,3
228,Nissan,370,2010,14,3
15,Audi,S4,2014,12,4
83,Honda,Accord,2014,12,4
84,Mercedes,Cl63amg,2012,12,4
124,Jeep,Wrangler,2015,12,4
179,Volkswagen,R32,2004,12,4
218,Chevy,Camaro,2010,12,4
9,Nissan,240,1996,10,5
36,Subaru,WRX,2016,10,5
134,Subaru,WRX,2013,10,5
137,Ford,Focus rs,2017,10,5
33,Subaru,Sti,2015,8,6
53,Subaru,WRX,2013,8,6
91,Mitsu,Lancer,2010,8,6
106,Acura,Tl type s,2007,8,6
123,Lexus,Sc430,2006,8,6
140,Mitsu,Evo8,1995,8,6
175,Honda,Civic,2006,8,6
Vip,Volkswagen,Gli,2008,6,7
5,Acura,Rsx,2003,6,7
6,Volkswagen,Golf r,2016,6,7
8,Nissan,Skyline,1991,6,7
14,Nissan,Skyline,1990,6,7
17,Mercedes,C43,2016,6,7
19,Mitsu,Evo7,2001,6,7
20,Infiniti,G37,2009,6,7
21,Subaru,WRX,2009,6,7
25,Mercedes,C250,2012,6,7
37,Subaru,Sti,2015,6,7
38,Hyundai,Elantra sport,2017,6,7
39,Honda,Civic,2011,6,7
51,Subaru,WRX,2015,6,7
52,Mazda,Speed 3,2007,6,7
65,Honda,Fit,2009,6,7
100,Volvo,S60r,2006,6,7
104,Honda,Civic si,2014,6,7
113,Acura,Tsx sportwagon,2012,6,7
120,Ford,Focus st,2014,6,7
145,Volkswagen,Gti,1990,6,7
178,Honda,Oddesy,2009,6,7
187,Subaru,Legacy,2007,6,7
219,Ford,Focus rs,2016,6,7
232,Subaru,WRX,2018,6,7
1051,Acura,Tsx,2006,6,7
4341,Nissan,Rps13,1992,6,7
7,Nissan,Sentra,2014,4,8
11,Nissan,Skyline,1991,4,8
12,Nissan,240,1990,4,8
13,Honda,Civic 1.5t,2016,4,8
18,Audi,S3,2015,4,8
30,Hyundai,Celoster,2012,4,8
41,Acura,Tsx,2012,4,8
44,Honda,Civic si,2018,4,8
48,Acura,TLX,2015,4,8
49,Acura,Integra,1997,4,8
56,Volkswagen,Jetta,2009,4,8
59,Volkswagen,Golf,2012,4,8
63,Honda,Civic,2010,4,8
76,Subaru,Sti,2005,4,8
81,Volkswagen,GTI,2016,4,8
98,Mercedes,C63,2012,4,8
99,Honda,Civic si,2014,4,8
108,Audi,S4,2013,4,8
111,Bmw,328i,2007,4,8
112,Acura,TL,2008,4,8
118,Honda,Civic,1993,4,8
127,Acura,Tsx,2013,4,8
142,Toyota,Supra,1993,4,8
158,Nissan,350z,2007,4,8
161,Nissan,370z,2012,4,8
162,Nissan,370z,2014,4,8
163,Mitsu,Ralliart,2013,4,8
167,Ford,Mystang,2016,4,8
172,Bmw,4,2014,4,8
180,Volkswagen,Gti,2011,4,8
181,Volkswagen,Gti,2003,4,8
182,Volkswagen,Cc,2012,4,8
183,Volkswagen,Jetta,2005,4,8
207,Honda,Civic eG,1993,4,8
1,Subaru,WRX,2012,2,9
2,Bmw,M2,2016,2,9
10,Nissan,S15,2001,2,9
16,Nissan,350z,2008,2,9
23,Subaru,Legacy,1998,2,9
24,Subaru,BRZ,2013,2,9
35,Honda,Civic,2016,2,9
43,Toyota,4 Runner,2011,2,9
46,Volkswagen,R32,2008,2,9
67,Subaru,Sti,2015,2,9
78,Mazda,6,2015,2,9
88,Honda,Accord,2008,2,9
89,Honda,Civic si,2014,2,9
92,Hyundai,Elantra sport,2017,2,9
93,Acura,TL,2005,2,9
94,Volkswagen,Gti,2004,2,9
96,Volkswagen,Gti,2017,2,9
103,Acura,Tsx,2010,2,9
114,Volkswagen,Gti,2010,2,9
121,Acura,TL,2012,2,9
122,Infiniti,M37s,2011,2,9
130,Honda,Civic si,2016,2,9
159,Hyundai,Gen coupe,2013,2,9
189,Toyota,Fj cruiser,2012,2,9
235,Scion,Frs,2013,2,9
0,Chevy,Camaro,2015,0,10
4,Honda,Civic,2007,0,10
22,Honda,Civic,2007,0,10
28,Bmw,318xi,1995,0,10
34,Honda,Fit,2010,0,10
40,Subaru,Legacy,2007,0,10
42,Dodge,Viper,2001,0,10
45,Acura,TL,2006,0,10
64,Subaru,Forester,2004,0,10
66,Volkswagen,Gti,2010,0,10
68,Nissan,Altima,2013,0,10
69,Subaru,WRX,2018,0,10
70,Honda,Civic,2014,0,10
71,Acura,TL,2008,0,10
72,Honda,Civic si,2016,0,10
74,Honda,Accord,2015,0,10
75,Subaru,WRX,2012,0,10
79,Mazda,Miata,1993,0,10
85,Honda,Accord,2017,0,10
86,Volkswagen,Jetta,1996,0,10
95,Infiniti,G35,2004,0,10
101,Honda,Civic,2014,0,10
102,Honda,Accord,2015,0,10
110,Toyota,Camry,2011,0,10
115,Honda,Crv,2001,0,10
116,Audi,A4,2008,0,10
126,Volkswagen,Eos,2010,0,10
138,Mazda,Miata,1990,0,10
141,Mazda,Miata,1993,0,10
144,Volkswagen,Gti,2016,0,10
150,Nissan,350z,2006,0,10
153,Subaru,Brz,2017,0,10
156,Volkswagen,Gli,2014,0,10
170,Chevy,Cruze,2014,0,10
174,Acura,Rsx,2006,0,10
176,Mitsu,Lancer,2014,0,10
177,Volkswagen,Jetta gli,2005,0,10
184,Volkswagen,Cc,2010,0,10
185,Volkswagen,Jett,2013,0,10
186,Volkswagen,Gli,2012,0,10
190,Lexus,Sc300,1995,0,10
193,Nissan,Ssntra,2014,0,10
197,Audi,A4,2010,0,10
