Car_ID,Make,Model,Year,Engine_Total,Ranking
113,Acura,Tsx sportwagon,2012,30,1
112,Acura,TL,2008,28,2
15,Audi,S4,2014,26,3
65,Honda,Fit,2009,26,3
128,Infiniti,G37,2010,26,3
175,Honda,Civic,2006,26,3
31,Honda,Fit,2007,24,4
83,Honda,Accord,2014,24,4
91,Mitsu,Lancer,2010,24,4
124,Jeep,Wrangler,2015,24,4
126,Volkswagen,Eos,2010,24,4
13,Honda,Civic 1.5t,2016,22,5
63,Honda,Civic,2010,22,5
30,Hyundai,Celoster,2012,20,6
57,Scion,Frs,2015,20,6
127,Acura,Tsx,2013,20,6
216,Chrystler,300,2007,20,6
228,Nissan,370,2010,20,6
6,Volkswagen,Golf r,2016,18,7
50,Acura,TLX,2015,18,7
123,Lexus,Sc430,2006,18,7
3,Nissan,370,2011,16,8
25,Mercedes,C250,2012,16,8
36,Subaru,WRX,2016,16,8
38,Hyundai,Elantra sport,2017,16,8
84,Mercedes,Cl63amg,2012,16,8
180,Volkswagen,Gti,2011,16,8
218,Chevy,Camaro,2010,16,8
1051,Acura,Tsx,2006,16,8
21,Subaru,WRX,2009,14,9
37,Subaru,Sti,2015,14,9
39,Honda,Civic,2011,14,9
41,Acura,Tsx,2012,14,9
48,Acura,TLX,2015,14,9
104,Honda,Civic si,2014,14,9
106,Acura,Tl type s,2007,14,9
137,Ford,Focus rs,2017,14,9
179,Volkswagen,R32,2004,14,9
12,Nissan,240,1990,12,10
33,Subaru,Sti,2015,12,10
35,Honda,Civic,2016,12,10
43,Toyota,4 Runner,2011,12,10
44,Honda,Civic si,2018,12,10
49,Acura,Integra,1997,12,10
103,Acura,Tsx,2010,12,10
110,Toyota,Camry,2011,12,10
134,Subaru,WRX,2013,12,10
178,Honda,Oddesy,2009,12,10
211,Acura,Tsx,2004,12,10
222,Lexus,Is250,2015,12,10
23,Subaru,Legacy,1998,10,11
45,Acura,TL,2006,10,11
51,Subaru,WRX,2015,10,11
52,Mazda,Speed 3,2007,10,11
53,Subaru,WRX,2013,10,11
56,Volkswagen,Jetta,2009,10,11
88,Honda,Accord,2008,10,11
115,Honda,Crv,2001,10,11
116,Audi,A4,2008,10,11
140,Mitsu,Evo8,1995,10,11
161,Nissan,370z,2012,10,11
189,Toyota,Fj cruiser,2012,10,11
207,Honda,Civic eG,1993,10,11
9,Nissan,240,1996,8,12
17,Mercedes,C43,2016,8,12
46,Volkswagen,R32,2008,8,12
59,Volkswagen,Golf,2012,8,12
100,Volvo,S60r,2006,8,12
122,Infiniti,M37s,2011,8,12
142,Toyota,Supra,1993,8,12
153,Subaru,Brz,2017,8,12
5,Acura,Rsx,2003,6,13
10,Nissan,S15,2001,6,13
78,Mazda,6,2015,6,13
92,Hyundai,Elantra sport,2017,6,13
98,Mercedes,C63,2012,6,13
99,Honda,Civic si,2014,6,13
145,Volkswagen,Gti,1990,6,13
162,Nissan,370z,2014,6,13
172,Bmw,4,2014,6,13
200,Subaru,WRX,2016,6,13
219,Ford,Focus rs,2016,6,13
232,Subaru,WRX,2018,6,13
237,Volkswagen,Jetta,1987,6,13
242,Nissan,Maxima,2014,6,13
4341,Nissan,Rps13,1992,6,13
Vip,Volkswagen,Gli,2008,4,14
8,Nissan,Skyline,1991,4,14
11,Nissan,Skyline,1991,4,14
14,Nissan,Skyline,1990,4,14
20,Infiniti,G37,2009,4,14
86,Volkswagen,Jetta,1996,4,14
114,Volkswagen,Gti,2010,4,14
118,Honda,Civic,1993,4,14
120,Ford,Focus st,2014,4,14
130,Honda,Civic si,2016,4,14
138,Mazda,Miata,1990,4,14
144,Volkswagen,Gti,2016,4,14
150,Nissan,350z,2006,4,14
158,Nissan,350z,2007,4,14
163,Mitsu,Ralliart,2013,4,14
167,Ford,Mystang,2016,4,14
177,Volkswagen,Jetta gli,2005,4,14
181,Volkswagen,Gti,2003,4,14
183,Volkswagen,Jetta,2005,4,14
184,Volkswagen,Cc,2010,4,14
187,Subaru,Legacy,2007,4,14
193,Nissan,Ssntra,2014,4,14
