Car_ID,Make,Model,Year,Mods_Total,Ranking
124,Jeep,Wrangler,2015,48,1
128,Infiniti,G37,2010,48,1
15,Audi,S4,2014,46,2
112,Acura,TL,2008,42,3
113,Acura,Tsx sportwagon,2012,42,3
65,Honda,Fit,2009,42,3
161,Nissan,370z,2012,38,4
91,Mitsu,Lancer,2010,38,4
103,Acura,Tsx,2010,36,5
126,Volkswagen,Eos,2010,36,5
13,Honda,Civic 1.5t,2016,36,5
83,Honda,Accord,2014,36,5
228,Nissan,370,2010,34,6
50,Acura,TLX,2015,34,6
63,Honda,Civic,2010,34,6
158,Nissan,350z,2007,32,7
178,Honda,Oddesy,2009,32,7
216,Chrystler,300,2007,32,7
225,Acura,TLX,2016,32,7
106,Acura,Tl type s,2007,30,8
180,Volkswagen,Gti,2011,30,8
31,Honda,Fit,2007,30,8
127,Acura,Tsx,2013,28,9
156,Volkswagen,Gli,2014,28,9
170,Chevy,Cruze,2014,28,9
175,Honda,Civic,2006,28,9
35,Honda,Civic,2016,28,9
1051,Acura,Tsx,2006,26,10
115,Honda,Crv,2001,26,10
123,Lexus,Sc430,2006,26,10
142,Toyota,Supra,1993,26,10
189,Toyota,Fj cruiser,2012,26,10
25,Mercedes,C250,2012,26,10
33,Subaru,Sti,2015,26,10
39,Honda,Civic,2011,26,10
122,Infiniti,M37s,2011,24,11
3,Nissan,370,2011,24,11
36,Subaru,WRX,2016,24,11
41,Acura,Tsx,2012,24,11
48,Acura,TLX,2015,24,11
5,Acura,Rsx,2003,24,11
12,Nissan,240,1990,22,12
176,Mitsu,Lancer,2014,22,12
23,Subaru,Legacy,1998,22,12
38,Hyundai,Elantra sport,2017,22,12
57,Scion,Frs,2015,22,12
84,Mercedes,Cl63amg,2012,22,12
121,Acura,TL,2012,20,13
162,Nissan,370z,2014,20,13
19,Mitsu,Evo7,2001,20,13
51,Subaru,WRX,2015,20,13
52,Mazda,Speed 3,2007,20,13
53,Subaru,WRX,2013,20,13
85,Honda,Accord,2017,20,13
110,Toyota,Camry,2011,18,14
141,Mazda,Miata,1993,18,14
18,Audi,S3,2015,18,14
21,Subaru,WRX,2009,18,14
211,Acura,Tsx,2004,18,14
218,Chevy,Camaro,2010,18,14
232,Subaru,WRX,2018,18,14
45,Acura,TL,2006,18,14
104,Honda,Civic si,2014,16,15
11,Nissan,Skyline,1991,16,15
130,Honda,Civic si,2016,16,15
137,Ford,Focus rs,2017,16,15
17,Mercedes,C43,2016,16,15
20,Infiniti,G37,2009,16,15
200,Subaru,WRX,2016,16,15
30,Hyundai,Celoster,2012,16,15
43,Toyota,4 Runner,2011,16,15
44,Honda,Civic si,2018,16,15
8,Nissan,Skyline,1991,16,15
88,Honda,Accord,2008,16,15
99,Honda,Civic si,2014,16,15
10,Nissan,S15,2001,14,16
118,Honda,Civic,1993,14,16
134,Subaru,WRX,2013,14,16
140,Mitsu,Evo8,1995,14,16
145,Volkswagen,Gti,1990,14,16
181,Volkswagen,Gti,2003,14,16
207,Honda,Civic eG,1993,14,16
238,Volkswagen,Rabbit,1982,14,16
37,Subaru,Sti,2015,14,16
4341,Nissan,Rps13,1992,14,16
46,Volkswagen,R32,2008,14,16
56,Volkswagen,Jetta,2009,14,16
6,Volkswagen,Golf r,2016,14,16
9,Nissan,240,1996,14,16
144,Volkswagen,Gti,2016,12,17
150,Nissan,350z,2006,12,17
153,Subaru,Brz,2017,12,17
187,Subaru,Legacy,2007,12,17
2,Bmw,M2,2016,12,17
226,Honda,Accord,2008,12,17
242,Nissan,Maxima,2014,12,17
4,Honda,Civic,2007,12,17
49,Acura,Integra,1997,12,17
7,Nissan,Sentra,2014,12,17
78,Mazda,6,2015,12,17
