Car_ID,Make,Model,Year,Mods_Overall,Ranking
112,Acura,TL,2008,6,1
113,Acura,Tsx sportwagon,2012,6,1
124,Jeep,Wrangler,2015,6,1
126,Volkswagen,Eos,2010,6,1
127,Acura,Tsx,2013,6,1
128,Infiniti,G37,2010,6,1
13,Honda,Civic 1.5t,2016,6,1
142,Toyota,Supra,1993,6,1
15,Audi,S4,2014,6,1
158,Nissan,350z,2007,6,1
161,Nissan,370z,2012,6,1
178,Honda,Oddesy,2009,6,1
23,Subaru,Legacy,1998,6,1
31,Honda,Fit,2007,6,1
50,Acura,TLX,2015,6,1
65,Honda,Fit,2009,6,1
83,Honda,Accord,2014,6,1
91,Mitsu,Lancer,2010,6,1
103,Acura,Tsx,2010,4,2
1051,Acura,Tsx,2006,4,2
106,Acura,Tl type s,2007,4,2
110,Toyota,Camry,2011,4,2
111,Bmw,328i,2007,4,2
115,Honda,Crv,2001,4,2
116,Audi,A4,2008,4,2
118,Honda,Civic,1993,4,2
12,Nissan,240,1990,4,2
121,Acura,TL,2012,4,2
122,Infiniti,M37s,2011,4,2
123,Lexus,Sc430,2006,4,2
156,Volkswagen,Gli,2014,4,2
170,Chevy,Cruze,2014,4,2
175,Honda,Civic,2006,4,2
176,Mitsu,Lancer,2014,4,2
180,Volkswagen,Gti,2011,4,2
21,Subaru,WRX,2009,4,2
216,Chrystler,300,2007,4,2
218,Chevy,Camaro,2010,4,2
222,Lexus,Is250,2015,4,2
225,Acura,TLX,2016,4,2
228,Nissan,370,2010,4,2
25,Mercedes,C250,2012,4,2
3,Nissan,370,2011,4,2
30,Hyundai,Celoster,2012,4,2
33,Subaru,Sti,2015,4,2
35,Honda,Civic,2016,4,2
36,Subaru,WRX,2016,4,2
37,Subaru,Sti,2015,4,2
39,Honda,Civic,2011,4,2
43,Toyota,4 Runner,2011,4,2
48,Acura,TLX,2015,4,2
49,Acura,Integra,1997,4,2
5,Acura,Rsx,2003,4,2
53,Subaru,WRX,2013,4,2
57,Scion,Frs,2015,4,2
6,Volkswagen,Golf r,2016,4,2
63,Honda,Civic,2010,4,2
7,Nissan,Sentra,2014,4,2
8,Nissan,Skyline,1991,4,2
85,Honda,Accord,2017,4,2
88,Honda,Accord,2008,4,2
9,Nissan,240,1996,4,2
99,Honda,Civic si,2014,4,2
10,Nissan,S15,2001,2,3
102,Honda,Accord,2015,2,3
104,Honda,Civic si,2014,2,3
108,Audi,S4,2013,2,3
11,Nissan,Skyline,1991,2,3
114,Volkswagen,Gti,2010,2,3
120,Ford,Focus st,2014,2,3
134,Subaru,WRX,2013,2,3
14,Nissan,Skyline,1990,2,3
141,Mazda,Miata,1993,2,3
144,Volkswagen,Gti,2016,2,3
145,Volkswagen,Gti,1990,2,3
150,Nissan,350z,2006,2,3
153,Subaru,Brz,2017,2,3
162,Nissan,370z,2014,2,3
163,Mitsu,Ralliart,2013,2,3
167,Ford,Mystang,2016,2,3
17,Mercedes,C43,2016,2,3
177,Volkswagen,Jetta gli,2005,2,3
179,Volkswagen,R32,2004,2,3
18,Audi,S3,2015,2,3
181,Volkswagen,Gti,2003,2,3
182,Volkswagen,Cc,2012,2,3
183,Volkswagen,Jetta,2005,2,3
187,Subaru,Legacy,2007,2,3
189,Toyota,Fj cruiser,2012,2,3
19,Mitsu,Evo7,2001,2,3
193,Nissan,Ssntra,2014,2,3
2,Bmw,M2,2016,2,3
20,Infiniti,G37,2009,2,3
200,Subaru,WRX,2016,2,3
22,Honda,Civic,2007,2,3
220,Audi,A4,2004,2,3
230,Acura,Tsx,2004,2,3
235,Scion,Frs,2013,2,3
238,Volkswagen,Rabbit,1982,2,3
24,Subaru,BRZ,2013,2,3
241,Toyota,Camry,2007,2,3
242,Nissan,Maxima,2014,2,3
41,Acura,Tsx,2012,2,3
4341,Nissan,Rps13,1992,2,3
44,Honda,Civic si,2018,2,3
45,Acura,TL,2006,2,3
51,Subaru,WRX,2015,2,3
52,Mazda,Speed 3,2007,2,3
56,Volkswagen,Jetta,2009,2,3
67,Subaru,Sti,2015,2,3
68,Nissan,Altima,2013,2,3
74,Honda,Accord,2015,2,3
79,Mazda,Miata,1993,2,3
