Total Car_ID Year Make Model--Ranking 
8 92 2017 Hyundai Model 1
8 79 1993 Mazda Model 2
8 59 2012 Volkswagen Model 3
8 34 2010 Honda Model 4
8 241 2007 Toyota Model 5
8 24 2013 Subaru Model 6
8 235 2013 Scion Model 7
8 163 2013 Mitsu Model 8
6 95 2004 Infiniti Model 9
6 94 2004 Volkswagen Model 10
6 89 2014 Honda Model 11
6 81 2016 Volkswagen Model 12
6 64 2004 Subaru Model 13
6 40 2007 Subaru Model 14
6 243 2008 Toyota Model 15
6 230 2004 Acura Model 16
6 222 2015 Lexus Model 17
6 220 2004 Audi Model 18
6 22 2007 Honda Model 19
6 14 1990 Nissan Model 20
6 138 1990 Mazda Model 21
6 116 2008 Audi Model 22
48 128 2010 Infiniti Model 23
48 124 2015 Jeep Model 24
46 15 2014 Audi Model 25
42 65 2009 Honda Model 26
42 113 2012 Acura Model 27
42 112 2008 Acura Model 28
4 98 2012 Mercedes Model 29
4 96 2017 Volkswagen Model 30
4 76 2005 Subaru Model 31
4 72 2016 Honda Model 32
4 68 2013 Nissan Model 33
4 67 2015 Subaru Model 34
4 28 1995 Bmw Model 35
4 219 2016 Ford Model 36
4 212 2001 Lexus Model 37
4 193 2014 Nissan Model 38
4 190 1995 Lexus Model 39
4 186 2012 Volkswagen Model 40
4 185 2013 Volkswagen Model 41
4 183 2005 Volkswagen Model 42
4 182 2012 Volkswagen Model 43
4 167 2016 Ford Model 44
4 159 2013 Hyundai Model 45
4 108 2013 Audi Model 46
4 102 2015 Honda Model 47
38 91 2010 Mitsu Model 48
38 161 2012 Nissan Model 49
36 83 2014 Honda Model 50
36 13 2016 Honda Model 51
36 126 2010 Volkswagen Model 52
36 103 2010 Acura Model 53
34 63 2010 Honda Model 54
34 50 2015 Acura Model 55
34 228 2010 Nissan Model 56
32 225 2016 Acura Model 57
32 216 2007 Chrystler Model 58
32 178 2009 Honda Model 59
32 158 2007 Nissan Model 60
30 31 2007 Honda Model 61
30 180 2011 Volkswagen Model 62
30 106 2007 Acura Model 63
28 35 2016 Honda Model 64
28 175 2006 Honda Model 65
28 170 2014 Chevy Model 66
28 156 2014 Volkswagen Model 67
28 127 2013 Acura Model 68
26 39 2011 Honda Model 69
26 33 2015 Subaru Model 70
26 25 2012 Mercedes Model 71
26 189 2012 Toyota Model 72
26 142 1993 Toyota Model 73
26 123 2006 Lexus Model 74
26 115 2001 Honda Model 75
26 1051 2006 Acura Model 76
24 5 2003 Acura Model 77
24 48 2015 Acura Model 78
24 41 2012 Acura Model 79
24 36 2016 Subaru Model 80
24 3 2011 Nissan Model 81
24 122 2011 Infiniti Model 82
22 84 2012 Mercedes Model 83
22 57 2015 Scion Model 84
22 38 2017 Hyundai Model 85
22 23 1998 Subaru Model 86
22 176 2014 Mitsu Model 87
22 12 1990 Nissan Model 88
20 85 2017 Honda Model 89
20 53 2013 Subaru Model 90
20 52 2007 Mazda Model 91
20 51 2015 Subaru Model 92
20 19 2001 Mitsu Model 93
20 162 2014 Nissan Model 94
20 121 2012 Acura Model 95
2 86 1996 Volkswagen Model 96
2 75 2012 Subaru Model 97
2 74 2015 Honda Model 98
2 71 2008 Acura Model 99
2 69 2018 Subaru Model 100
2 66 2010 Volkswagen Model 101
2 42 2001 Dodge Model 102
2 197 2010 Audi Model 103
2 184 2010 Volkswagen Model 104
2 179 2004 Volkswagen Model 105
2 177 2005 Volkswagen Model 106
2 174 2006 Acura Model 107
2 172 2014 Bmw Model 108
2 16 2008 Nissan Model 109
2 100 2006 Volvo Model 110
2 1 2012 Subaru Model 111
18 Showcar 2014 Nissan Model 112
18 45 2006 Acura Model 113
18 232 2018 Subaru Model 114
18 218 2010 Chevy Model 115
18 211 2004 Acura Model 116
18 21 2009 Subaru Model 117
18 18 2015 Audi Model 118
18 141 1993 Mazda Model 119
18 110 2011 Toyota Model 120
16 99 2014 Honda Model 121
16 88 2008 Honda Model 122
16 8 1991 Nissan Model 123
16 44 2018 Honda Model 124
16 43 2011 Toyota Model 125
16 30 2012 Hyundai Model 126
16 200 2016 Subaru Model 127
16 20 2009 Infiniti Model 128
16 17 2016 Mercedes Model 129
16 137 2017 Ford Model 130
16 130 2016 Honda Model 131
16 11 1991 Nissan Model 132
16 104 2014 Honda Model 133
14 9 1996 Nissan Model 134
14 6 2016 Volkswagen Model 135
14 56 2009 Volkswagen Model 136
14 46 2008 Volkswagen Model 137
14 4341 1992 Nissan Model 138
14 37 2015 Subaru Model 139
14 238 1982 Volkswagen Model 140
14 207 1993 Honda Model 141
14 181 2003 Volkswagen Model 142
14 145 1990 Volkswagen Model 143
14 140 1995 Mitsu Model 144
14 134 2013 Subaru Model 145
14 118 1993 Honda Model 146
14 10 2001 Nissan Model 147
12 78 2015 Mazda Model 148
12 7 2014 Nissan Model 149
12 49 1997 Acura Model 150
12 4 2007 Honda Model 151
12 242 2014 Nissan Model 152
12 226 2008 Honda Model 153
12 2 2016 Bmw Model 154
12 187 2007 Subaru Model 155
12 153 2017 Subaru Model 156
12 150 2006 Nissan Model 157
12 144 2016 Volkswagen Model 158
10 93 2005 Acura Model 159
10 120 2014 Ford Model 160
10 114 2010 Volkswagen Model 161
0 Vip 2008 Volkswagen Model 162
0 70 2014 Honda Model 163
0 237 1987 Volkswagen Model 164
0 111 2007 Bmw Model 165
0 101 2014 Honda Model 166
0 0 2015 Chevy Model 167
