Total Car_ID Year Make Model--Ranking 
6 91 2010 Mitsu Model 1
6 83 2014 Honda Model 2
6 65 2009 Honda Model 3
6 50 2015 Acura Model 4
6 31 2007 Honda Model 5
6 23 1998 Subaru Model 6
6 178 2009 Honda Model 7
6 161 2012 Nissan Model 8
6 158 2007 Nissan Model 9
6 15 2014 Audi Model 10
6 142 1993 Toyota Model 11
6 13 2016 Honda Model 12
6 128 2010 Infiniti Model 13
6 127 2013 Acura Model 14
6 126 2010 Volkswagen Model 15
6 124 2015 Jeep Model 16
6 113 2012 Acura Model 17
6 112 2008 Acura Model 18
4 99 2014 Honda Model 19
4 9 1996 Nissan Model 20
4 88 2008 Honda Model 21
4 85 2017 Honda Model 22
4 8 1991 Nissan Model 23
4 7 2014 Nissan Model 24
4 63 2010 Honda Model 25
4 6 2016 Volkswagen Model 26
4 57 2015 Scion Model 27
4 53 2013 Subaru Model 28
4 5 2003 Acura Model 29
4 49 1997 Acura Model 30
4 48 2015 Acura Model 31
4 43 2011 Toyota Model 32
4 39 2011 Honda Model 33
4 37 2015 Subaru Model 34
4 36 2016 Subaru Model 35
4 35 2016 Honda Model 36
4 33 2015 Subaru Model 37
4 30 2012 Hyundai Model 38
4 3 2011 Nissan Model 39
4 25 2012 Mercedes Model 40
4 228 2010 Nissan Model 41
4 225 2016 Acura Model 42
4 222 2015 Lexus Model 43
4 218 2010 Chevy Model 44
4 216 2007 Chrystler Model 45
4 21 2009 Subaru Model 46
4 180 2011 Volkswagen Model 47
4 176 2014 Mitsu Model 48
4 175 2006 Honda Model 49
4 170 2014 Chevy Model 50
4 156 2014 Volkswagen Model 51
4 123 2006 Lexus Model 52
4 122 2011 Infiniti Model 53
4 121 2012 Acura Model 54
4 12 1990 Nissan Model 55
4 118 1993 Honda Model 56
4 116 2008 Audi Model 57
4 115 2001 Honda Model 58
4 111 2007 Bmw Model 59
4 110 2011 Toyota Model 60
4 106 2007 Acura Model 61
4 1051 2006 Acura Model 62
4 103 2010 Acura Model 63
2 98 2012 Mercedes Model 64
2 96 2017 Volkswagen Model 65
2 94 2004 Volkswagen Model 66
2 89 2014 Honda Model 67
2 84 2012 Mercedes Model 68
2 79 1993 Mazda Model 69
2 74 2015 Honda Model 70
2 68 2013 Nissan Model 71
2 67 2015 Subaru Model 72
2 56 2009 Volkswagen Model 73
2 52 2007 Mazda Model 74
2 51 2015 Subaru Model 75
2 45 2006 Acura Model 76
2 44 2018 Honda Model 77
2 4341 1992 Nissan Model 78
2 41 2012 Acura Model 79
2 242 2014 Nissan Model 80
2 241 2007 Toyota Model 81
2 24 2013 Subaru Model 82
2 238 1982 Volkswagen Model 83
2 235 2013 Scion Model 84
2 230 2004 Acura Model 85
2 220 2004 Audi Model 86
2 22 2007 Honda Model 87
2 200 2016 Subaru Model 88
2 20 2009 Infiniti Model 89
2 2 2016 Bmw Model 90
2 193 2014 Nissan Model 91
2 19 2001 Mitsu Model 92
2 189 2012 Toyota Model 93
2 187 2007 Subaru Model 94
2 183 2005 Volkswagen Model 95
2 182 2012 Volkswagen Model 96
2 181 2003 Volkswagen Model 97
2 18 2015 Audi Model 98
2 179 2004 Volkswagen Model 99
2 177 2005 Volkswagen Model 100
2 17 2016 Mercedes Model 101
2 167 2016 Ford Model 102
2 163 2013 Mitsu Model 103
2 162 2014 Nissan Model 104
2 153 2017 Subaru Model 105
2 150 2006 Nissan Model 106
2 145 1990 Volkswagen Model 107
2 144 2016 Volkswagen Model 108
2 141 1993 Mazda Model 109
2 14 1990 Nissan Model 110
2 134 2013 Subaru Model 111
2 120 2014 Ford Model 112
2 114 2010 Volkswagen Model 113
2 11 1991 Nissan Model 114
2 108 2013 Audi Model 115
2 104 2014 Honda Model 116
2 102 2015 Honda Model 117
2 10 2001 Nissan Model 118
0 Vip 2008 Volkswagen Model 119
0 95 2004 Infiniti Model 120
0 93 2005 Acura Model 121
0 92 2017 Hyundai Model 122
0 86 1996 Volkswagen Model 123
0 81 2016 Volkswagen Model 124
0 78 2015 Mazda Model 125
0 76 2005 Subaru Model 126
0 75 2012 Subaru Model 127
0 72 2016 Honda Model 128
0 71 2008 Acura Model 129
0 70 2014 Honda Model 130
0 69 2018 Subaru Model 131
0 66 2010 Volkswagen Model 132
0 64 2004 Subaru Model 133
0 59 2012 Volkswagen Model 134
0 46 2008 Volkswagen Model 135
0 42 2001 Dodge Model 136
0 40 2007 Subaru Model 137
0 4 2007 Honda Model 138
0 38 2017 Hyundai Model 139
0 34 2010 Honda Model 140
0 28 1995 Bmw Model 141
0 243 2008 Toyota Model 142
0 237 1987 Volkswagen Model 143
0 232 2018 Subaru Model 144
0 226 2008 Honda Model 145
0 219 2016 Ford Model 146
0 212 2001 Lexus Model 147
0 211 2004 Acura Model 148
0 207 1993 Honda Model 149
0 197 2010 Audi Model 150
0 190 1995 Lexus Model 151
0 186 2012 Volkswagen Model 152
0 185 2013 Volkswagen Model 153
0 184 2010 Volkswagen Model 154
0 174 2006 Acura Model 155
0 172 2014 Bmw Model 156
0 16 2008 Nissan Model 157
0 159 2013 Hyundai Model 158
0 140 1995 Mitsu Model 159
0 138 1990 Mazda Model 160
0 137 2017 Ford Model 161
0 130 2016 Honda Model 162
0 101 2014 Honda Model 163
0 100 2006 Volvo Model 164
0 1 2012 Subaru Model 165
0 0 2015 Chevy Model 166
