Total Car_ID Year Make Model--Ranking
6 91 2010 Mitsu Model 129
6 83 2014 Honda Model 48
6 65 2009 Honda Model 68
6 50 2015 Acura Model 89
6 31 2007 Honda Model 106
6 23 1998 Subaru Model 45
6 178 2009 Honda Model 8
6 161 2012 Nissan Model 36
6 158 2007 Nissan Model 130
6 15 2014 Audi Model 67
6 142 1993 Toyota Model 153
6 13 2016 Honda Model 165
6 128 2010 Infiniti Model 103
6 127 2013 Acura Model 56
6 126 2010 Volkswagen Model 154
6 124 2015 Jeep Model 2
6 113 2012 Acura Model 164
6 112 2008 Acura Model 127
4 99 2014 Honda Model 23
4 9 1996 Nissan Model 152
4 88 2008 Honda Model 52
4 85 2017 Honda Model 59
4 8 1991 Nissan Model 29
4 7 2014 Nissan Model 27
4 63 2010 Honda Model 71
4 6 2016 Volkswagen Model 134
4 57 2015 Scion Model 80
4 53 2013 Subaru Model 91
4 5 2003 Acura Model 14
4 49 1997 Acura Model 111
4 48 2015 Acura Model 1
4 43 2011 Toyota Model 20
4 39 2011 Honda Model 16
4 37 2015 Subaru Model 37
4 36 2016 Subaru Model 32
4 35 2016 Honda Model 72
4 33 2015 Subaru Model 82
4 30 2012 Hyundai Model 9
4 3 2011 Nissan Model 147
4 25 2012 Mercedes Model 53
4 228 2010 Nissan Model 26
4 225 2016 Acura Model 132
4 222 2015 Lexus Model 3
4 218 2010 Chevy Model 15
4 216 2007 Chrystler Model 22
4 21 2009 Subaru Model 42
4 180 2011 Volkswagen Model 116
4 176 2014 Mitsu Model 54
4 175 2006 Honda Model 84
4 170 2014 Chevy Model 21
4 156 2014 Volkswagen Model 75
4 123 2006 Lexus Model 79
4 122 2011 Infiniti Model 162
4 121 2012 Acura Model 135
4 12 1990 Nissan Model 63
4 118 1993 Honda Model 143
4 116 2008 Audi Model 95
4 115 2001 Honda Model 85
4 111 2007 Bmw Model 34
4 110 2011 Toyota Model 156
4 106 2007 Acura Model 163
4 1051 2006 Acura Model 141
4 103 2010 Acura Model 117
2 98 2012 Mercedes Model 61
2 96 2017 Volkswagen Model 66
2 94 2004 Volkswagen Model 149
2 89 2014 Honda Model 24
2 84 2012 Mercedes Model 142
2 79 1993 Mazda Model 73
2 74 2015 Honda Model 119
2 68 2013 Nissan Model 17
2 67 2015 Subaru Model 19
2 56 2009 Volkswagen Model 88
2 52 2007 Mazda Model 98
2 51 2015 Subaru Model 11
2 45 2006 Acura Model 140
2 44 2018 Honda Model 77
2 4341 1992 Nissan Model 74
2 41 2012 Acura Model 94
2 242 2014 Nissan Model 146
2 241 2007 Toyota Model 92
2 24 2013 Subaru Model 160
2 238 1982 Volkswagen Model 105
2 235 2013 Scion Model 159
2 230 2004 Acura Model 81
2 220 2004 Audi Model 76
2 22 2007 Honda Model 101
2 200 2016 Subaru Model 43
2 20 2009 Infiniti Model 7
2 2 2016 Bmw Model 44
2 193 2014 Nissan Model 148
2 19 2001 Mitsu Model 78
2 189 2012 Toyota Model 33
2 187 2007 Subaru Model 124
2 183 2005 Volkswagen Model 12
2 182 2012 Volkswagen Model 131
2 181 2003 Volkswagen Model 50
2 18 2015 Audi Model 108
2 179 2004 Volkswagen Model 70
2 177 2005 Volkswagen Model 13
2 17 2016 Mercedes Model 123
2 167 2016 Ford Model 5
2 163 2013 Mitsu Model 90
2 162 2014 Nissan Model 115
2 153 2017 Subaru Model 86
2 150 2006 Nissan Model 120
2 145 1990 Volkswagen Model 30
2 144 2016 Volkswagen Model 155
2 141 1993 Mazda Model 122
2 14 1990 Nissan Model 28
2 134 2013 Subaru Model 55
2 120 2014 Ford Model 58
2 114 2010 Volkswagen Model 93
2 11 1991 Nissan Model 150
2 108 2013 Audi Model 60
2 104 2014 Honda Model 57
2 102 2015 Honda Model 31
2 10 2001 Nissan Model 18
0 Vip 2008 Volkswagen Model 65
0 95 2004 Infiniti Model 25
0 93 2005 Acura Model 99
0 92 2017 Hyundai Model 69
0 86 1996 Volkswagen Model 151
0 81 2016 Volkswagen Model 133
0 78 2015 Mazda Model 121
0 76 2005 Subaru Model 87
0 75 2012 Subaru Model 83
0 72 2016 Honda Model 139
0 71 2008 Acura Model 107
0 70 2014 Honda Model 102
0 69 2018 Subaru Model 125
0 66 2010 Volkswagen Model 40
0 64 2004 Subaru Model 161
0 59 2012 Volkswagen Model 46
0 46 2008 Volkswagen Model 110
0 42 2001 Dodge Model 47
0 40 2007 Subaru Model 104
0 4 2007 Honda Model 138
0 38 2017 Hyundai Model 109
0 34 2010 Honda Model 157
0 28 1995 Bmw Model 112
0 243 2008 Toyota Model 38
0 237 1987 Volkswagen Model 166
0 232 2018 Subaru Model 64
0 226 2008 Honda Model 100
0 219 2016 Ford Model 113
0 212 2001 Lexus Model 97
0 211 2004 Acura Model 136
0 207 1993 Honda Model 4
0 197 2010 Audi Model 118
0 190 1995 Lexus Model 158
0 186 2012 Volkswagen Model 137
0 185 2013 Volkswagen Model 114
0 184 2010 Volkswagen Model 39
0 174 2006 Acura Model 144
0 172 2014 Bmw Model 128
0 16 2008 Nissan Model 49
0 159 2013 Hyundai Model 6
0 140 1995 Mitsu Model 35
0 138 1990 Mazda Model 145
0 137 2017 Ford Model 96
0 130 2016 Honda Model 62
0 101 2014 Honda Model 41
0 100 2006 Volvo Model 126
0 1 2012 Subaru Model 10
0 0 2015 Chevy Model 51
