Racer_Total Car_ID Year Make Model--Ranking
18 128 2010 Infiniti Model 103
16 57 2015 Scion Model 80
16 3 2011 Nissan Model 147
16 216 2007 Chrystler Model 22
14 50 2015 Acura Model 89
14 31 2007 Honda Model 106
14 228 2010 Nissan Model 26
12 84 2012 Mercedes Model 142
12 83 2014 Honda Model 48
12 218 2010 Chevy Model 15
12 179 2004 Volkswagen Model 70
12 15 2014 Audi Model 67
12 124 2015 Jeep Model 2
10 9 1996 Nissan Model 152
10 36 2016 Subaru Model 32
10 137 2017 Ford Model 96
10 134 2013 Subaru Model 55
8 91 2010 Mitsu Model 129
8 53 2013 Subaru Model 91
8 33 2015 Subaru Model 82
8 175 2006 Honda Model 84
8 140 1995 Mitsu Model 35
8 123 2006 Lexus Model 79
8 106 2007 Acura Model 163
6 Vip 2008 Volkswagen Model 65
6 8 1991 Nissan Model 29
6 65 2009 Honda Model 68
6 6 2016 Volkswagen Model 134
6 52 2007 Mazda Model 98
6 51 2015 Subaru Model 11
6 5 2003 Acura Model 14
6 4341 1992 Nissan Model 74
6 39 2011 Honda Model 16
6 38 2017 Hyundai Model 109
6 37 2015 Subaru Model 37
6 25 2012 Mercedes Model 53
6 232 2018 Subaru Model 64
6 219 2016 Ford Model 113
6 21 2009 Subaru Model 42
6 20 2009 Infiniti Model 7
6 19 2001 Mitsu Model 78
6 187 2007 Subaru Model 124
6 178 2009 Honda Model 8
6 17 2016 Mercedes Model 123
6 145 1990 Volkswagen Model 30
6 14 1990 Nissan Model 28
6 120 2014 Ford Model 58
6 113 2012 Acura Model 164
6 1051 2006 Acura Model 141
6 104 2014 Honda Model 57
6 100 2006 Volvo Model 126
4 99 2014 Honda Model 23
4 98 2012 Mercedes Model 61
4 81 2016 Volkswagen Model 133
4 76 2005 Subaru Model 87
4 7 2014 Nissan Model 27
4 63 2010 Honda Model 71
4 59 2012 Volkswagen Model 46
4 56 2009 Volkswagen Model 88
4 49 1997 Acura Model 111
4 48 2015 Acura Model 1
4 44 2018 Honda Model 77
4 41 2012 Acura Model 94
4 30 2012 Hyundai Model 9
4 207 1993 Honda Model 4
4 183 2005 Volkswagen Model 12
4 182 2012 Volkswagen Model 131
4 181 2003 Volkswagen Model 50
4 180 2011 Volkswagen Model 116
4 18 2015 Audi Model 108
4 172 2014 Bmw Model 128
4 167 2016 Ford Model 5
4 163 2013 Mitsu Model 90
4 162 2014 Nissan Model 115
4 161 2012 Nissan Model 36
4 158 2007 Nissan Model 130
4 142 1993 Toyota Model 153
4 13 2016 Honda Model 165
4 127 2013 Acura Model 56
4 12 1990 Nissan Model 63
4 118 1993 Honda Model 143
4 112 2008 Acura Model 127
4 111 2007 Bmw Model 34
4 11 1991 Nissan Model 150
4 108 2013 Audi Model 60
2 96 2017 Volkswagen Model 66
2 94 2004 Volkswagen Model 149
2 93 2005 Acura Model 99
2 92 2017 Hyundai Model 69
2 89 2014 Honda Model 24
2 88 2008 Honda Model 52
2 78 2015 Mazda Model 121
2 67 2015 Subaru Model 19
2 46 2008 Volkswagen Model 110
2 43 2011 Toyota Model 20
2 35 2016 Honda Model 72
2 24 2013 Subaru Model 160
2 235 2013 Scion Model 159
2 23 1998 Subaru Model 45
2 2 2016 Bmw Model 44
2 189 2012 Toyota Model 33
2 16 2008 Nissan Model 49
2 159 2013 Hyundai Model 6
2 130 2016 Honda Model 62
2 122 2011 Infiniti Model 162
2 121 2012 Acura Model 135
2 114 2010 Volkswagen Model 93
2 103 2010 Acura Model 117
2 10 2001 Nissan Model 18
2 1 2012 Subaru Model 10
0 95 2004 Infiniti Model 25
0 86 1996 Volkswagen Model 151
0 85 2017 Honda Model 59
0 79 1993 Mazda Model 73
0 75 2012 Subaru Model 83
0 74 2015 Honda Model 119
0 72 2016 Honda Model 139
0 71 2008 Acura Model 107
0 70 2014 Honda Model 102
0 69 2018 Subaru Model 125
0 68 2013 Nissan Model 17
0 66 2010 Volkswagen Model 40
0 64 2004 Subaru Model 161
0 45 2006 Acura Model 140
0 42 2001 Dodge Model 47
0 40 2007 Subaru Model 104
0 4 2007 Honda Model 138
0 34 2010 Honda Model 157
0 28 1995 Bmw Model 112
0 243 2008 Toyota Model 38
0 242 2014 Nissan Model 146
0 241 2007 Toyota Model 92
0 238 1982 Volkswagen Model 105
0 237 1987 Volkswagen Model 166
0 230 2004 Acura Model 81
0 226 2008 Honda Model 100
0 225 2016 Acura Model 132
0 222 2015 Lexus Model 3
0 220 2004 Audi Model 76
0 22 2007 Honda Model 101
0 212 2001 Lexus Model 97
0 211 2004 Acura Model 136
0 200 2016 Subaru Model 43
0 197 2010 Audi Model 118
0 193 2014 Nissan Model 148
0 190 1995 Lexus Model 158
0 186 2012 Volkswagen Model 137
0 185 2013 Volkswagen Model 114
0 184 2010 Volkswagen Model 39
0 177 2005 Volkswagen Model 13
0 176 2014 Mitsu Model 54
0 174 2006 Acura Model 144
0 170 2014 Chevy Model 21
0 156 2014 Volkswagen Model 75
0 153 2017 Subaru Model 86
0 150 2006 Nissan Model 120
0 144 2016 Volkswagen Model 155
0 141 1993 Mazda Model 122
0 138 1990 Mazda Model 145
0 126 2010 Volkswagen Model 154
0 116 2008 Audi Model 95
0 115 2001 Honda Model 85
0 110 2011 Toyota Model 156
0 102 2015 Honda Model 31
0 101 2014 Honda Model 41
0 0 2015 Chevy Model 51
