Total Car_ID Year Make Ranking
30 124 2015 Jeep Model 2
30 113 2012 Acura Model 164
28 83 2014 Honda Model 48
28 50 2015 Acura Model 89
28 15 2014 Audi Model 67
28 112 2008 Acura Model 127
26 180 2011 Volkswagen Model 116
26 128 2010 Infiniti Model 103
26 126 2010 Volkswagen Model 154
24 91 2010 Mitsu Model 129
24 31 2007 Honda Model 106
24 161 2012 Nissan Model 36
24 156 2014 Volkswagen Model 75
24 13 2016 Honda Model 165
24 127 2013 Acura Model 56
24 110 2011 Toyota Model 156
22 65 2009 Honda Model 68
22 25 2012 Mercedes Model 53
22 175 2006 Honda Model 84
20 63 2010 Honda Model 71
20 30 2012 Hyundai Model 9
20 3 2011 Nissan Model 147
20 216 2007 Chrystler Model 22
20 153 2017 Subaru Model 86
20 106 2007 Acura Model 163
18 39 2011 Honda Model 16
18 23 1998 Subaru Model 45
18 222 2015 Lexus Model 3
18 170 2014 Chevy Model 21
18 121 2012 Acura Model 135
18 103 2010 Acura Model 117
16 85 2017 Honda Model 59
16 53 2013 Subaru Model 91
16 43 2011 Toyota Model 20
16 41 2012 Acura Model 94
16 36 2016 Subaru Model 32
16 24 2013 Subaru Model 160
16 228 2010 Nissan Model 26
16 211 2004 Acura Model 136
16 21 2009 Subaru Model 42
16 158 2007 Nissan Model 130
16 12 1990 Nissan Model 63
16 115 2001 Honda Model 85
14 92 2017 Hyundai Model 69
14 88 2008 Honda Model 52
14 84 2012 Mercedes Model 142
14 78 2015 Mazda Model 121
14 57 2015 Scion Model 80
14 38 2017 Hyundai Model 109
14 37 2015 Subaru Model 37
14 35 2016 Honda Model 72
14 33 2015 Subaru Model 82
14 178 2009 Honda Model 8
14 118 1993 Honda Model 143
12 81 2016 Volkswagen Model 133
12 8 1991 Nissan Model 29
12 48 2015 Acura Model 1
12 232 2018 Subaru Model 64
12 225 2016 Acura Model 132
12 22 2007 Honda Model 101
12 176 2014 Mitsu Model 54
12 137 2017 Ford Model 96
12 134 2013 Subaru Model 55
12 1051 2006 Acura Model 141
10 98 2012 Mercedes Model 61
10 6 2016 Volkswagen Model 134
10 56 2009 Volkswagen Model 88
10 51 2015 Subaru Model 11
10 45 2006 Acura Model 140
10 241 2007 Toyota Model 92
10 238 1982 Volkswagen Model 105
10 218 2010 Chevy Model 15
10 207 1993 Honda Model 4
10 200 2016 Subaru Model 43
10 20 2009 Infiniti Model 7
10 18 2015 Audi Model 108
10 144 2016 Volkswagen Model 155
10 142 1993 Toyota Model 153
10 140 1995 Mitsu Model 35
10 123 2006 Lexus Model 79
8 99 2014 Honda Model 23
8 79 1993 Mazda Model 73
8 7 2014 Nissan Model 27
8 52 2007 Mazda Model 98
8 34 2010 Honda Model 157
8 230 2004 Acura Model 81
8 219 2016 Ford Model 113
8 19 2001 Mitsu Model 78
8 189 2012 Toyota Model 33
8 145 1990 Volkswagen Model 30
8 14 1990 Nissan Model 28
8 114 2010 Volkswagen Model 93
8 10 2001 Nissan Model 18
6 95 2004 Infiniti Model 25
6 93 2005 Acura Model 99
6 69 2018 Subaru Model 125
6 59 2012 Volkswagen Model 46
6 5 2003 Acura Model 14
6 49 1997 Acura Model 111
6 46 2008 Volkswagen Model 110
6 242 2014 Nissan Model 146
6 235 2013 Scion Model 159
6 226 2008 Honda Model 100
6 2 2016 Bmw Model 44
6 190 1995 Lexus Model 158
6 182 2012 Volkswagen Model 131
6 181 2003 Volkswagen Model 50
6 179 2004 Volkswagen Model 70
6 167 2016 Ford Model 5
6 159 2013 Hyundai Model 6
6 141 1993 Mazda Model 122
6 122 2011 Infiniti Model 162
6 120 2014 Ford Model 58
6 116 2008 Audi Model 95
6 104 2014 Honda Model 57
6 100 2006 Volvo Model 126
4 Vip 2008 Volkswagen Model 65
4 9 1996 Nissan Model 152
4 89 2014 Honda Model 24
4 74 2015 Honda Model 119
4 71 2008 Acura Model 107
4 68 2013 Nissan Model 17
4 67 2015 Subaru Model 19
4 44 2018 Honda Model 77
4 28 1995 Bmw Model 112
4 243 2008 Toyota Model 38
4 237 1987 Volkswagen Model 166
4 220 2004 Audi Model 76
4 193 2014 Nissan Model 148
4 185 2013 Volkswagen Model 114
4 177 2005 Volkswagen Model 13
4 172 2014 Bmw Model 128
4 163 2013 Mitsu Model 90
4 162 2014 Nissan Model 115
4 16 2008 Nissan Model 49
4 150 2006 Nissan Model 120
4 102 2015 Honda Model 31
2 86 1996 Volkswagen Model 151
2 75 2012 Subaru Model 83
2 4341 1992 Nissan Model 74
2 42 2001 Dodge Model 47
2 212 2001 Lexus Model 97
2 186 2012 Volkswagen Model 137
2 184 2010 Volkswagen Model 39
2 183 2005 Volkswagen Model 12
2 17 2016 Mercedes Model 123
2 130 2016 Honda Model 62
2 111 2007 Bmw Model 34
2 11 1991 Nissan Model 150
2 108 2013 Audi Model 60
0 96 2017 Volkswagen Model 66
0 94 2004 Volkswagen Model 149
0 76 2005 Subaru Model 87
0 72 2016 Honda Model 139
0 70 2014 Honda Model 102
0 66 2010 Volkswagen Model 40
0 64 2004 Subaru Model 161
0 40 2007 Subaru Model 104
0 4 2007 Honda Model 138
0 197 2010 Audi Model 118
0 187 2007 Subaru Model 124
0 174 2006 Acura Model 144
0 138 1990 Mazda Model 145
0 101 2014 Honda Model 41
0 1 2012 Subaru Model 10
0 0 2015 Chevy Model 51
