Total Car_ID Year Make Ranking 
30 124 2015 Jeep Model 1
30 113 2012 Acura Model 2
28 83 2014 Honda Model 3
28 50 2015 Acura Model 4
28 15 2014 Audi Model 5
28 112 2008 Acura Model 6
26 180 2011 Volkswagen Model 7
26 128 2010 Infiniti Model 8
26 126 2010 Volkswagen Model 9
24 91 2010 Mitsu Model 10
24 31 2007 Honda Model 11
24 161 2012 Nissan Model 12
24 156 2014 Volkswagen Model 13
24 13 2016 Honda Model 14
24 127 2013 Acura Model 15
24 110 2011 Toyota Model 16
22 65 2009 Honda Model 17
22 25 2012 Mercedes Model 18
22 175 2006 Honda Model 19
20 63 2010 Honda Model 20
20 30 2012 Hyundai Model 21
20 3 2011 Nissan Model 22
20 216 2007 Chrystler Model 23
20 153 2017 Subaru Model 24
20 106 2007 Acura Model 25
18 39 2011 Honda Model 26
18 23 1998 Subaru Model 27
18 222 2015 Lexus Model 28
18 170 2014 Chevy Model 29
18 121 2012 Acura Model 30
18 103 2010 Acura Model 31
16 85 2017 Honda Model 32
16 53 2013 Subaru Model 33
16 43 2011 Toyota Model 34
16 41 2012 Acura Model 35
16 36 2016 Subaru Model 36
16 24 2013 Subaru Model 37
16 228 2010 Nissan Model 38
16 211 2004 Acura Model 39
16 21 2009 Subaru Model 40
16 158 2007 Nissan Model 41
16 12 1990 Nissan Model 42
16 115 2001 Honda Model 43
14 92 2017 Hyundai Model 44
14 88 2008 Honda Model 45
14 84 2012 Mercedes Model 46
14 78 2015 Mazda Model 47
14 57 2015 Scion Model 48
14 38 2017 Hyundai Model 49
14 37 2015 Subaru Model 50
14 35 2016 Honda Model 51
14 33 2015 Subaru Model 52
14 178 2009 Honda Model 53
14 118 1993 Honda Model 54
12 81 2016 Volkswagen Model 55
12 8 1991 Nissan Model 56
12 48 2015 Acura Model 57
12 232 2018 Subaru Model 58
12 225 2016 Acura Model 59
12 22 2007 Honda Model 60
12 176 2014 Mitsu Model 61
12 137 2017 Ford Model 62
12 134 2013 Subaru Model 63
12 1051 2006 Acura Model 64
10 98 2012 Mercedes Model 65
10 6 2016 Volkswagen Model 66
10 56 2009 Volkswagen Model 67
10 51 2015 Subaru Model 68
10 45 2006 Acura Model 69
10 241 2007 Toyota Model 70
10 238 1982 Volkswagen Model 71
10 218 2010 Chevy Model 72
10 207 1993 Honda Model 73
10 200 2016 Subaru Model 74
10 20 2009 Infiniti Model 75
10 18 2015 Audi Model 76
10 144 2016 Volkswagen Model 77
10 142 1993 Toyota Model 78
10 140 1995 Mitsu Model 79
10 123 2006 Lexus Model 80
8 99 2014 Honda Model 81
8 79 1993 Mazda Model 82
8 7 2014 Nissan Model 83
8 52 2007 Mazda Model 84
8 34 2010 Honda Model 85
8 230 2004 Acura Model 86
8 219 2016 Ford Model 87
8 19 2001 Mitsu Model 88
8 189 2012 Toyota Model 89
8 145 1990 Volkswagen Model 90
8 14 1990 Nissan Model 91
8 114 2010 Volkswagen Model 92
8 10 2001 Nissan Model 93
6 95 2004 Infiniti Model 94
6 93 2005 Acura Model 95
6 69 2018 Subaru Model 96
6 59 2012 Volkswagen Model 97
6 5 2003 Acura Model 98
6 49 1997 Acura Model 99
6 46 2008 Volkswagen Model 100
6 242 2014 Nissan Model 101
6 235 2013 Scion Model 102
6 226 2008 Honda Model 103
6 2 2016 Bmw Model 104
6 190 1995 Lexus Model 105
6 182 2012 Volkswagen Model 106
6 181 2003 Volkswagen Model 107
6 179 2004 Volkswagen Model 108
6 167 2016 Ford Model 109
6 159 2013 Hyundai Model 110
6 141 1993 Mazda Model 111
6 122 2011 Infiniti Model 112
6 120 2014 Ford Model 113
6 116 2008 Audi Model 114
6 104 2014 Honda Model 115
6 100 2006 Volvo Model 116
4 Vip 2008 Volkswagen Model 117
4 9 1996 Nissan Model 118
4 89 2014 Honda Model 119
4 74 2015 Honda Model 120
4 71 2008 Acura Model 121
4 68 2013 Nissan Model 122
4 67 2015 Subaru Model 123
4 44 2018 Honda Model 124
4 28 1995 Bmw Model 125
4 243 2008 Toyota Model 126
4 237 1987 Volkswagen Model 127
4 220 2004 Audi Model 128
4 193 2014 Nissan Model 129
4 185 2013 Volkswagen Model 130
4 177 2005 Volkswagen Model 131
4 172 2014 Bmw Model 132
4 163 2013 Mitsu Model 133
4 162 2014 Nissan Model 134
4 16 2008 Nissan Model 135
4 150 2006 Nissan Model 136
4 102 2015 Honda Model 137
2 86 1996 Volkswagen Model 138
2 75 2012 Subaru Model 139
2 4341 1992 Nissan Model 140
2 42 2001 Dodge Model 141
2 212 2001 Lexus Model 142
2 186 2012 Volkswagen Model 143
2 184 2010 Volkswagen Model 144
2 183 2005 Volkswagen Model 145
2 17 2016 Mercedes Model 146
2 130 2016 Honda Model 147
2 111 2007 Bmw Model 148
2 11 1991 Nissan Model 149
2 108 2013 Audi Model 150
0 96 2017 Volkswagen Model 151
0 94 2004 Volkswagen Model 152
0 76 2005 Subaru Model 153
0 72 2016 Honda Model 154
0 70 2014 Honda Model 155
0 66 2010 Volkswagen Model 156
0 64 2004 Subaru Model 157
0 40 2007 Subaru Model 158
0 4 2007 Honda Model 159
0 197 2010 Audi Model 160
0 187 2007 Subaru Model 161
0 174 2006 Acura Model 162
0 138 1990 Mazda Model 163
0 101 2014 Honda Model 164
0 1 2012 Subaru Model 165
0 0 2015 Chevy Model 166
