Car_Overall_Total Car_ID Year Make Ranking
6 83 2014 Honda Model 48
6 186 2012 Volkswagen Model 137
6 172 2014 Bmw Model 128
4 9 1996 Nissan Model 152
4 84 2012 Mercedes Model 142
4 65 2009 Honda Model 68
4 57 2015 Scion Model 80
4 5 2003 Acura Model 14
4 49 1997 Acura Model 111
4 48 2015 Acura Model 1
4 43 2011 Toyota Model 20
4 41 2012 Acura Model 94
4 39 2011 Honda Model 16
4 38 2017 Hyundai Model 109
4 36 2016 Subaru Model 32
4 33 2015 Subaru Model 82
4 31 2007 Honda Model 106
4 3 2011 Nissan Model 147
4 25 2012 Mercedes Model 53
4 232 2018 Subaru Model 64
4 23 1998 Subaru Model 45
4 228 2010 Nissan Model 26
4 218 2010 Chevy Model 15
4 216 2007 Chrystler Model 22
4 21 2009 Subaru Model 42
4 175 2006 Honda Model 84
4 142 1993 Toyota Model 153
4 128 2010 Infiniti Model 103
4 127 2013 Acura Model 56
4 124 2015 Jeep Model 2
4 12 1990 Nissan Model 63
4 118 1993 Honda Model 143
4 104 2014 Honda Model 57
2 Vip 2008 Volkswagen Model 65
2 93 2005 Acura Model 99
2 91 2010 Mitsu Model 129
2 88 2008 Honda Model 52
2 81 2016 Volkswagen Model 133
2 8 1991 Nissan Model 29
2 78 2015 Mazda Model 121
2 76 2005 Subaru Model 87
2 63 2010 Honda Model 71
2 6 2016 Volkswagen Model 134
2 59 2012 Volkswagen Model 46
2 56 2009 Volkswagen Model 88
2 53 2013 Subaru Model 91
2 52 2007 Mazda Model 98
2 51 2015 Subaru Model 11
2 50 2015 Acura Model 89
2 46 2008 Volkswagen Model 110
2 45 2006 Acura Model 140
2 44 2018 Honda Model 77
2 4341 1992 Nissan Model 74
2 42 2001 Dodge Model 47
2 37 2015 Subaru Model 37
2 34 2010 Honda Model 157
2 30 2012 Hyundai Model 9
2 24 2013 Subaru Model 160
2 22 2007 Honda Model 101
2 219 2016 Ford Model 113
2 211 2004 Acura Model 136
2 207 1993 Honda Model 4
2 200 2016 Subaru Model 43
2 19 2001 Mitsu Model 78
2 189 2012 Toyota Model 33
2 187 2007 Subaru Model 124
2 182 2012 Volkswagen Model 131
2 180 2011 Volkswagen Model 116
2 18 2015 Audi Model 108
2 179 2004 Volkswagen Model 70
2 178 2009 Honda Model 8
2 161 2012 Nissan Model 36
2 158 2007 Nissan Model 130
2 15 2014 Audi Model 67
2 145 1990 Volkswagen Model 30
2 140 1995 Mitsu Model 35
2 137 2017 Ford Model 96
2 134 2013 Subaru Model 55
2 120 2014 Ford Model 58
2 116 2008 Audi Model 95
2 113 2012 Acura Model 164
2 112 2008 Acura Model 127
2 11 1991 Nissan Model 150
2 108 2013 Audi Model 60
2 106 2007 Acura Model 163
2 1051 2006 Acura Model 141
2 10 2001 Nissan Model 18
2 1 2012 Subaru Model 10
0 99 2014 Honda Model 23
0 98 2012 Mercedes Model 61
0 96 2017 Volkswagen Model 66
0 95 2004 Infiniti Model 25
0 94 2004 Volkswagen Model 149
0 92 2017 Hyundai Model 69
0 89 2014 Honda Model 24
0 86 1996 Volkswagen Model 151
0 85 2017 Honda Model 59
0 79 1993 Mazda Model 73
0 75 2012 Subaru Model 83
0 74 2015 Honda Model 119
0 72 2016 Honda Model 139
0 71 2008 Acura Model 107
0 70 2014 Honda Model 102
0 7 2014 Nissan Model 27
0 69 2018 Subaru Model 125
0 68 2013 Nissan Model 17
0 67 2015 Subaru Model 19
0 66 2010 Volkswagen Model 40
0 64 2004 Subaru Model 161
0 40 2007 Subaru Model 104
0 4 2007 Honda Model 138
0 35 2016 Honda Model 72
0 28 1995 Bmw Model 112
0 243 2008 Toyota Model 38
0 242 2014 Nissan Model 146
0 241 2007 Toyota Model 92
0 238 1982 Volkswagen Model 105
0 237 1987 Volkswagen Model 166
0 235 2013 Scion Model 159
0 230 2004 Acura Model 81
0 226 2008 Honda Model 100
0 225 2016 Acura Model 132
0 222 2015 Lexus Model 3
0 220 2004 Audi Model 76
0 212 2001 Lexus Model 97
0 20 2009 Infiniti Model 7
0 2 2016 Bmw Model 44
0 197 2010 Audi Model 118
0 193 2014 Nissan Model 148
0 190 1995 Lexus Model 158
0 185 2013 Volkswagen Model 114
0 184 2010 Volkswagen Model 39
0 183 2005 Volkswagen Model 12
0 181 2003 Volkswagen Model 50
0 177 2005 Volkswagen Model 13
0 176 2014 Mitsu Model 54
0 174 2006 Acura Model 144
0 170 2014 Chevy Model 21
0 17 2016 Mercedes Model 123
0 167 2016 Ford Model 5
0 163 2013 Mitsu Model 90
0 162 2014 Nissan Model 115
0 16 2008 Nissan Model 49
0 159 2013 Hyundai Model 6
0 156 2014 Volkswagen Model 75
0 153 2017 Subaru Model 86
0 150 2006 Nissan Model 120
0 144 2016 Volkswagen Model 155
0 141 1993 Mazda Model 122
0 14 1990 Nissan Model 28
0 138 1990 Mazda Model 145
0 130 2016 Honda Model 62
0 13 2016 Honda Model 165
0 126 2010 Volkswagen Model 154
0 123 2006 Lexus Model 79
0 122 2011 Infiniti Model 162
0 121 2012 Acura Model 135
0 115 2001 Honda Model 85
0 114 2010 Volkswagen Model 93
0 111 2007 Bmw Model 34
0 110 2011 Toyota Model 156
0 103 2010 Acura Model 117
0 102 2015 Honda Model 31
0 101 2014 Honda Model 41
0 100 2006 Volvo Model 126
0 0 2015 Chevy Model 51
