Car_Overall_Total Car_ID Year Make Ranking
6 83 2014 Honda Model 1
6 186 2012 Volkswagen Model 2
6 172 2014 Bmw Model 3
4 9 1996 Nissan Model 4
4 84 2012 Mercedes Model 5
4 65 2009 Honda Model 6
4 57 2015 Scion Model 7
4 5 2003 Acura Model 8
4 49 1997 Acura Model 9
4 48 2015 Acura Model 10
4 43 2011 Toyota Model 11
4 41 2012 Acura Model 12
4 39 2011 Honda Model 13
4 38 2017 Hyundai Model 14
4 36 2016 Subaru Model 15
4 33 2015 Subaru Model 16
4 31 2007 Honda Model 17
4 3 2011 Nissan Model 18
4 25 2012 Mercedes Model 19
4 232 2018 Subaru Model 20
4 23 1998 Subaru Model 21
4 228 2010 Nissan Model 22
4 218 2010 Chevy Model 23
4 216 2007 Chrystler Model 24
4 21 2009 Subaru Model 25
4 175 2006 Honda Model 26
4 142 1993 Toyota Model 27
4 128 2010 Infiniti Model 28
4 127 2013 Acura Model 29
4 124 2015 Jeep Model 30
4 12 1990 Nissan Model 31
4 118 1993 Honda Model 32
4 104 2014 Honda Model 33
2 Vip 2008 Volkswagen Model 34
2 93 2005 Acura Model 35
2 91 2010 Mitsu Model 36
2 88 2008 Honda Model 37
2 81 2016 Volkswagen Model 38
2 8 1991 Nissan Model 39
2 78 2015 Mazda Model 40
2 76 2005 Subaru Model 41
2 63 2010 Honda Model 42
2 6 2016 Volkswagen Model 43
2 59 2012 Volkswagen Model 44
2 56 2009 Volkswagen Model 45
2 53 2013 Subaru Model 46
2 52 2007 Mazda Model 47
2 51 2015 Subaru Model 48
2 50 2015 Acura Model 49
2 46 2008 Volkswagen Model 50
2 45 2006 Acura Model 51
2 44 2018 Honda Model 52
2 4341 1992 Nissan Model 53
2 42 2001 Dodge Model 54
2 37 2015 Subaru Model 55
2 34 2010 Honda Model 56
2 30 2012 Hyundai Model 57
2 24 2013 Subaru Model 58
2 22 2007 Honda Model 59
2 219 2016 Ford Model 60
2 211 2004 Acura Model 61
2 207 1993 Honda Model 62
2 200 2016 Subaru Model 63
2 19 2001 Mitsu Model 64
2 189 2012 Toyota Model 65
2 187 2007 Subaru Model 66
2 182 2012 Volkswagen Model 67
2 180 2011 Volkswagen Model 68
2 18 2015 Audi Model 69
2 179 2004 Volkswagen Model 70
2 178 2009 Honda Model 71
2 161 2012 Nissan Model 72
2 158 2007 Nissan Model 73
2 15 2014 Audi Model 74
2 145 1990 Volkswagen Model 75
2 140 1995 Mitsu Model 76
2 137 2017 Ford Model 77
2 134 2013 Subaru Model 78
2 120 2014 Ford Model 79
2 116 2008 Audi Model 80
2 113 2012 Acura Model 81
2 112 2008 Acura Model 82
2 11 1991 Nissan Model 83
2 108 2013 Audi Model 84
2 106 2007 Acura Model 85
2 1051 2006 Acura Model 86
2 10 2001 Nissan Model 87
2 1 2012 Subaru Model 88
0 99 2014 Honda Model 89
0 98 2012 Mercedes Model 90
0 96 2017 Volkswagen Model 91
0 95 2004 Infiniti Model 92
0 94 2004 Volkswagen Model 93
0 92 2017 Hyundai Model 94
0 89 2014 Honda Model 95
0 86 1996 Volkswagen Model 96
0 85 2017 Honda Model 97
0 79 1993 Mazda Model 98
0 75 2012 Subaru Model 99
0 74 2015 Honda Model 100
0 72 2016 Honda Model 101
0 71 2008 Acura Model 102
0 70 2014 Honda Model 103
0 7 2014 Nissan Model 104
0 69 2018 Subaru Model 105
0 68 2013 Nissan Model 106
0 67 2015 Subaru Model 107
0 66 2010 Volkswagen Model 108
0 64 2004 Subaru Model 109
0 40 2007 Subaru Model 110
0 4 2007 Honda Model 111
0 35 2016 Honda Model 112
0 28 1995 Bmw Model 113
0 243 2008 Toyota Model 114
0 242 2014 Nissan Model 115
0 241 2007 Toyota Model 116
0 238 1982 Volkswagen Model 117
0 237 1987 Volkswagen Model 118
0 235 2013 Scion Model 119
0 230 2004 Acura Model 120
0 226 2008 Honda Model 121
0 225 2016 Acura Model 122
0 222 2015 Lexus Model 123
0 220 2004 Audi Model 124
0 212 2001 Lexus Model 125
0 20 2009 Infiniti Model 126
0 2 2016 Bmw Model 127
0 197 2010 Audi Model 128
0 193 2014 Nissan Model 129
0 190 1995 Lexus Model 130
0 185 2013 Volkswagen Model 131
0 184 2010 Volkswagen Model 132
0 183 2005 Volkswagen Model 133
0 181 2003 Volkswagen Model 134
0 177 2005 Volkswagen Model 135
0 176 2014 Mitsu Model 136
0 174 2006 Acura Model 137
0 170 2014 Chevy Model 138
0 17 2016 Mercedes Model 139
0 167 2016 Ford Model 140
0 163 2013 Mitsu Model 141
0 162 2014 Nissan Model 142
0 16 2008 Nissan Model 143
0 159 2013 Hyundai Model 144
0 156 2014 Volkswagen Model 145
0 153 2017 Subaru Model 146
0 150 2006 Nissan Model 147
0 144 2016 Volkswagen Model 148
0 141 1993 Mazda Model 149
0 14 1990 Nissan Model 150
0 138 1990 Mazda Model 151
0 130 2016 Honda Model 152
0 13 2016 Honda Model 153
0 126 2010 Volkswagen Model 154
0 123 2006 Lexus Model 155
0 122 2011 Infiniti Model 156
0 121 2012 Acura Model 157
0 115 2001 Honda Model 158
0 114 2010 Volkswagen Model 159
0 111 2007 Bmw Model 160
0 110 2011 Toyota Model 161
0 103 2010 Acura Model 162
0 102 2015 Honda Model 163
0 101 2014 Honda Model 164
0 100 2006 Volvo Model 165
0 0 2015 Chevy Model 166
