Engine_Total Car_ID Year Make Ranking
30 113 2012 Acura Model 164
28 112 2008 Acura Model 127
26 65 2009 Honda Model 68
26 175 2006 Honda Model 84
26 15 2014 Audi Model 67
26 128 2010 Infiniti Model 103
24 91 2010 Mitsu Model 129
24 83 2014 Honda Model 48
24 31 2007 Honda Model 106
24 126 2010 Volkswagen Model 154
24 124 2015 Jeep Model 2
22 63 2010 Honda Model 71
22 13 2016 Honda Model 165
20 57 2015 Scion Model 80
20 30 2012 Hyundai Model 9
20 228 2010 Nissan Model 26
20 216 2007 Chrystler Model 22
20 127 2013 Acura Model 56
18 6 2016 Volkswagen Model 134
18 50 2015 Acura Model 89
18 123 2006 Lexus Model 79
16 84 2012 Mercedes Model 142
16 38 2017 Hyundai Model 109
16 36 2016 Subaru Model 32
16 3 2011 Nissan Model 147
16 25 2012 Mercedes Model 53
16 218 2010 Chevy Model 15
16 180 2011 Volkswagen Model 116
16 1051 2006 Acura Model 141
14 48 2015 Acura Model 1
14 41 2012 Acura Model 94
14 39 2011 Honda Model 16
14 37 2015 Subaru Model 37
14 21 2009 Subaru Model 42
14 179 2004 Volkswagen Model 70
14 137 2017 Ford Model 96
14 106 2007 Acura Model 163
14 104 2014 Honda Model 57
12 49 1997 Acura Model 111
12 44 2018 Honda Model 77
12 43 2011 Toyota Model 20
12 35 2016 Honda Model 72
12 33 2015 Subaru Model 82
12 222 2015 Lexus Model 3
12 211 2004 Acura Model 136
12 178 2009 Honda Model 8
12 134 2013 Subaru Model 55
12 12 1990 Nissan Model 63
12 110 2011 Toyota Model 156
12 103 2010 Acura Model 117
10 88 2008 Honda Model 52
10 56 2009 Volkswagen Model 88
10 53 2013 Subaru Model 91
10 52 2007 Mazda Model 98
10 51 2015 Subaru Model 11
10 45 2006 Acura Model 140
10 23 1998 Subaru Model 45
10 207 1993 Honda Model 4
10 189 2012 Toyota Model 33
10 161 2012 Nissan Model 36
10 140 1995 Mitsu Model 35
10 116 2008 Audi Model 95
10 115 2001 Honda Model 85
8 9 1996 Nissan Model 152
8 59 2012 Volkswagen Model 46
8 46 2008 Volkswagen Model 110
8 17 2016 Mercedes Model 123
8 153 2017 Subaru Model 86
8 142 1993 Toyota Model 153
8 122 2011 Infiniti Model 162
8 100 2006 Volvo Model 126
6 99 2014 Honda Model 23
6 98 2012 Mercedes Model 61
6 92 2017 Hyundai Model 69
6 78 2015 Mazda Model 121
6 5 2003 Acura Model 14
6 4341 1992 Nissan Model 74
6 242 2014 Nissan Model 146
6 237 1987 Volkswagen Model 166
6 232 2018 Subaru Model 64
6 219 2016 Ford Model 113
6 200 2016 Subaru Model 43
6 172 2014 Bmw Model 128
6 162 2014 Nissan Model 115
6 145 1990 Volkswagen Model 30
6 10 2001 Nissan Model 18
4 Vip 2008 Volkswagen Model 65
4 86 1996 Volkswagen Model 151
4 8 1991 Nissan Model 29
4 241 2007 Toyota Model 92
4 230 2004 Acura Model 81
4 225 2016 Acura Model 132
4 20 2009 Infiniti Model 7
4 193 2014 Nissan Model 148
4 187 2007 Subaru Model 124
4 184 2010 Volkswagen Model 39
4 183 2005 Volkswagen Model 12
4 181 2003 Volkswagen Model 50
4 177 2005 Volkswagen Model 13
4 167 2016 Ford Model 5
4 163 2013 Mitsu Model 90
4 158 2007 Nissan Model 130
4 150 2006 Nissan Model 120
4 144 2016 Volkswagen Model 155
4 14 1990 Nissan Model 28
4 138 1990 Mazda Model 145
4 130 2016 Honda Model 62
4 120 2014 Ford Model 58
4 118 1993 Honda Model 143
4 114 2010 Volkswagen Model 93
4 11 1991 Nissan Model 150
2 96 2017 Volkswagen Model 66
2 93 2005 Acura Model 99
2 89 2014 Honda Model 24
2 85 2017 Honda Model 59
2 76 2005 Subaru Model 87
2 75 2012 Subaru Model 83
2 7 2014 Nissan Model 27
2 67 2015 Subaru Model 19
2 66 2010 Volkswagen Model 40
2 42 2001 Dodge Model 47
2 4 2007 Honda Model 138
2 24 2013 Subaru Model 160
2 238 1982 Volkswagen Model 105
2 235 2013 Scion Model 159
2 220 2004 Audi Model 76
2 22 2007 Honda Model 101
2 2 2016 Bmw Model 44
2 19 2001 Mitsu Model 78
2 186 2012 Volkswagen Model 137
2 182 2012 Volkswagen Model 131
2 18 2015 Audi Model 108
2 176 2014 Mitsu Model 54
2 174 2006 Acura Model 144
2 16 2008 Nissan Model 49
2 159 2013 Hyundai Model 6
0 95 2004 Infiniti Model 25
0 94 2004 Volkswagen Model 149
0 81 2016 Volkswagen Model 133
0 79 1993 Mazda Model 73
0 74 2015 Honda Model 119
0 72 2016 Honda Model 139
0 71 2008 Acura Model 107
0 70 2014 Honda Model 102
0 69 2018 Subaru Model 125
0 68 2013 Nissan Model 17
0 64 2004 Subaru Model 161
0 40 2007 Subaru Model 104
0 34 2010 Honda Model 157
0 28 1995 Bmw Model 112
0 243 2008 Toyota Model 38
0 226 2008 Honda Model 100
0 212 2001 Lexus Model 97
0 197 2010 Audi Model 118
0 190 1995 Lexus Model 158
0 185 2013 Volkswagen Model 114
0 170 2014 Chevy Model 21
0 156 2014 Volkswagen Model 75
0 141 1993 Mazda Model 122
0 121 2012 Acura Model 135
0 111 2007 Bmw Model 34
0 108 2013 Audi Model 60
0 102 2015 Honda Model 31
0 101 2014 Honda Model 41
0 1 2012 Subaru Model 10
0 0 2015 Chevy Model 51
