Engine_Total Car_ID Year Make Ranking
30 113 2012 Acura Model 1
28 112 2008 Acura Model 2
26 65 2009 Honda Model 3
26 175 2006 Honda Model 4
26 15 2014 Audi Model 5
26 128 2010 Infiniti Model 6
24 91 2010 Mitsu Model 7
24 83 2014 Honda Model 8
24 31 2007 Honda Model 9
24 126 2010 Volkswagen Model 10
24 124 2015 Jeep Model 11
22 63 2010 Honda Model 12
22 13 2016 Honda Model 13
20 57 2015 Scion Model 14
20 30 2012 Hyundai Model 15
20 228 2010 Nissan Model 16
20 216 2007 Chrystler Model 17
20 127 2013 Acura Model 18
18 6 2016 Volkswagen Model 19
18 50 2015 Acura Model 20
18 123 2006 Lexus Model 21
16 84 2012 Mercedes Model 22
16 38 2017 Hyundai Model 23
16 36 2016 Subaru Model 24
16 3 2011 Nissan Model 25
16 25 2012 Mercedes Model 26
16 218 2010 Chevy Model 27
16 180 2011 Volkswagen Model 28
16 1051 2006 Acura Model 29
14 48 2015 Acura Model 30
14 41 2012 Acura Model 31
14 39 2011 Honda Model 32
14 37 2015 Subaru Model 33
14 21 2009 Subaru Model 34
14 179 2004 Volkswagen Model 35
14 137 2017 Ford Model 36
14 106 2007 Acura Model 37
14 104 2014 Honda Model 38
12 49 1997 Acura Model 39
12 44 2018 Honda Model 40
12 43 2011 Toyota Model 41
12 35 2016 Honda Model 42
12 33 2015 Subaru Model 43
12 222 2015 Lexus Model 44
12 211 2004 Acura Model 45
12 178 2009 Honda Model 46
12 134 2013 Subaru Model 47
12 12 1990 Nissan Model 48
12 110 2011 Toyota Model 49
12 103 2010 Acura Model 50
10 88 2008 Honda Model 51
10 56 2009 Volkswagen Model 52
10 53 2013 Subaru Model 53
10 52 2007 Mazda Model 54
10 51 2015 Subaru Model 55
10 45 2006 Acura Model 56
10 23 1998 Subaru Model 57
10 207 1993 Honda Model 58
10 189 2012 Toyota Model 59
10 161 2012 Nissan Model 60
10 140 1995 Mitsu Model 61
10 116 2008 Audi Model 62
10 115 2001 Honda Model 63
8 9 1996 Nissan Model 64
8 59 2012 Volkswagen Model 65
8 46 2008 Volkswagen Model 66
8 17 2016 Mercedes Model 67
8 153 2017 Subaru Model 68
8 142 1993 Toyota Model 69
8 122 2011 Infiniti Model 70
8 100 2006 Volvo Model 71
6 99 2014 Honda Model 72
6 98 2012 Mercedes Model 73
6 92 2017 Hyundai Model 74
6 78 2015 Mazda Model 75
6 5 2003 Acura Model 76
6 4341 1992 Nissan Model 77
6 242 2014 Nissan Model 78
6 237 1987 Volkswagen Model 79
6 232 2018 Subaru Model 80
6 219 2016 Ford Model 81
6 200 2016 Subaru Model 82
6 172 2014 Bmw Model 83
6 162 2014 Nissan Model 84
6 145 1990 Volkswagen Model 85
6 10 2001 Nissan Model 86
4 Vip 2008 Volkswagen Model 87
4 86 1996 Volkswagen Model 88
4 8 1991 Nissan Model 89
4 241 2007 Toyota Model 90
4 230 2004 Acura Model 91
4 225 2016 Acura Model 92
4 20 2009 Infiniti Model 93
4 193 2014 Nissan Model 94
4 187 2007 Subaru Model 95
4 184 2010 Volkswagen Model 96
4 183 2005 Volkswagen Model 97
4 181 2003 Volkswagen Model 98
4 177 2005 Volkswagen Model 99
4 167 2016 Ford Model 100
4 163 2013 Mitsu Model 101
4 158 2007 Nissan Model 102
4 150 2006 Nissan Model 103
4 144 2016 Volkswagen Model 104
4 14 1990 Nissan Model 105
4 138 1990 Mazda Model 106
4 130 2016 Honda Model 107
4 120 2014 Ford Model 108
4 118 1993 Honda Model 109
4 114 2010 Volkswagen Model 110
4 11 1991 Nissan Model 111
2 96 2017 Volkswagen Model 112
2 93 2005 Acura Model 113
2 89 2014 Honda Model 114
2 85 2017 Honda Model 115
2 76 2005 Subaru Model 116
2 75 2012 Subaru Model 117
2 7 2014 Nissan Model 118
2 67 2015 Subaru Model 119
2 66 2010 Volkswagen Model 120
2 42 2001 Dodge Model 121
2 4 2007 Honda Model 122
2 24 2013 Subaru Model 123
2 238 1982 Volkswagen Model 124
2 235 2013 Scion Model 125
2 220 2004 Audi Model 126
2 22 2007 Honda Model 127
2 2 2016 Bmw Model 128
2 19 2001 Mitsu Model 129
2 186 2012 Volkswagen Model 130
2 182 2012 Volkswagen Model 131
2 18 2015 Audi Model 132
2 176 2014 Mitsu Model 133
2 174 2006 Acura Model 134
2 16 2008 Nissan Model 135
2 159 2013 Hyundai Model 136
0 95 2004 Infiniti Model 137
0 94 2004 Volkswagen Model 138
0 81 2016 Volkswagen Model 139
0 79 1993 Mazda Model 140
0 74 2015 Honda Model 141
0 72 2016 Honda Model 142
0 71 2008 Acura Model 143
0 70 2014 Honda Model 144
0 69 2018 Subaru Model 145
0 68 2013 Nissan Model 146
0 64 2004 Subaru Model 147
0 40 2007 Subaru Model 148
0 34 2010 Honda Model 149
0 28 1995 Bmw Model 150
0 243 2008 Toyota Model 151
0 226 2008 Honda Model 152
0 212 2001 Lexus Model 153
0 197 2010 Audi Model 154
0 190 1995 Lexus Model 155
0 185 2013 Volkswagen Model 156
0 170 2014 Chevy Model 157
0 156 2014 Volkswagen Model 158
0 141 1993 Mazda Model 159
0 121 2012 Acura Model 160
0 111 2007 Bmw Model 161
0 108 2013 Audi Model 162
0 102 2015 Honda Model 163
0 101 2014 Honda Model 164
0 1 2012 Subaru Model 165
0 0 2015 Chevy Model 166
