Total Car_ID Year Make Model--Ranking
48 128 2010 Infiniti Model 104
48 124 2015 Jeep Model 2
46 15 2014 Audi Model 68
42 65 2009 Honda Model 69
42 113 2012 Acura Model 165
42 112 2008 Acura Model 128
38 91 2010 Mitsu Model 130
38 161 2012 Nissan Model 36
36 83 2014 Honda Model 48
36 13 2016 Honda Model 166
36 126 2010 Volkswagen Model 155
36 103 2010 Acura Model 118
34 63 2010 Honda Model 72
34 50 2015 Acura Model 90
34 228 2010 Nissan Model 26
32 225 2016 Acura Model 133
32 216 2007 Chrystler Model 22
32 178 2009 Honda Model 8
32 158 2007 Nissan Model 131
30 31 2007 Honda Model 107
30 180 2011 Volkswagen Model 117
30 106 2007 Acura Model 164
28 35 2016 Honda Model 73
28 175 2006 Honda Model 85
28 170 2014 Chevy Model 21
28 156 2014 Volkswagen Model 76
28 127 2013 Acura Model 56
26 39 2011 Honda Model 16
26 33 2015 Subaru Model 83
26 25 2012 Mercedes Model 53
26 189 2012 Toyota Model 33
26 142 1993 Toyota Model 154
26 123 2006 Lexus Model 80
26 115 2001 Honda Model 86
26 1051 2006 Acura Model 142
24 5 2003 Acura Model 14
24 48 2015 Acura Model 1
24 41 2012 Acura Model 95
24 36 2016 Subaru Model 32
24 3 2011 Nissan Model 148
24 122 2011 Infiniti Model 163
22 84 2012 Mercedes Model 143
22 57 2015 Scion Model 81
22 38 2017 Hyundai Model 110
22 23 1998 Subaru Model 45
22 176 2014 Mitsu Model 54
22 12 1990 Nissan Model 64
20 85 2017 Honda Model 59
20 53 2013 Subaru Model 92
20 52 2007 Mazda Model 99
20 51 2015 Subaru Model 11
20 19 2001 Mitsu Model 79
20 162 2014 Nissan Model 116
20 121 2012 Acura Model 136
18 Showcar 2014 Nissan Model 60
18 45 2006 Acura Model 141
18 232 2018 Subaru Model 65
18 218 2010 Chevy Model 15
18 211 2004 Acura Model 137
18 21 2009 Subaru Model 42
18 18 2015 Audi Model 109
18 141 1993 Mazda Model 123
18 110 2011 Toyota Model 157
16 99 2014 Honda Model 23
16 88 2008 Honda Model 52
16 8 1991 Nissan Model 29
16 44 2018 Honda Model 78
16 43 2011 Toyota Model 20
16 30 2012 Hyundai Model 9
16 200 2016 Subaru Model 43
16 20 2009 Infiniti Model 7
16 17 2016 Mercedes Model 124
16 137 2017 Ford Model 97
16 130 2016 Honda Model 63
16 11 1991 Nissan Model 151
16 104 2014 Honda Model 57
14 9 1996 Nissan Model 153
14 6 2016 Volkswagen Model 135
14 56 2009 Volkswagen Model 89
14 46 2008 Volkswagen Model 111
14 4341 1992 Nissan Model 75
14 37 2015 Subaru Model 37
14 238 1982 Volkswagen Model 106
14 207 1993 Honda Model 4
14 181 2003 Volkswagen Model 50
14 145 1990 Volkswagen Model 30
14 140 1995 Mitsu Model 35
14 134 2013 Subaru Model 55
14 118 1993 Honda Model 144
14 10 2001 Nissan Model 18
12 78 2015 Mazda Model 122
12 7 2014 Nissan Model 27
12 49 1997 Acura Model 112
12 4 2007 Honda Model 139
12 242 2014 Nissan Model 147
12 226 2008 Honda Model 101
12 2 2016 Bmw Model 44
12 187 2007 Subaru Model 125
12 153 2017 Subaru Model 87
12 150 2006 Nissan Model 121
12 144 2016 Volkswagen Model 156
10 93 2005 Acura Model 100
10 120 2014 Ford Model 58
10 114 2010 Volkswagen Model 94
8 92 2017 Hyundai Model 70
8 79 1993 Mazda Model 74
8 59 2012 Volkswagen Model 46
8 34 2010 Honda Model 158
8 241 2007 Toyota Model 93
8 24 2013 Subaru Model 161
8 235 2013 Scion Model 160
8 163 2013 Mitsu Model 91
6 95 2004 Infiniti Model 25
6 94 2004 Volkswagen Model 150
6 89 2014 Honda Model 24
6 81 2016 Volkswagen Model 134
6 64 2004 Subaru Model 162
6 40 2007 Subaru Model 105
6 243 2008 Toyota Model 38
6 230 2004 Acura Model 82
6 222 2015 Lexus Model 3
6 220 2004 Audi Model 77
6 22 2007 Honda Model 102
6 14 1990 Nissan Model 28
6 138 1990 Mazda Model 146
6 116 2008 Audi Model 96
4 98 2012 Mercedes Model 62
4 96 2017 Volkswagen Model 67
4 76 2005 Subaru Model 88
4 72 2016 Honda Model 140
4 68 2013 Nissan Model 17
4 67 2015 Subaru Model 19
4 28 1995 Bmw Model 113
4 219 2016 Ford Model 114
4 212 2001 Lexus Model 98
4 193 2014 Nissan Model 149
4 190 1995 Lexus Model 159
4 186 2012 Volkswagen Model 138
4 185 2013 Volkswagen Model 115
4 183 2005 Volkswagen Model 12
4 182 2012 Volkswagen Model 132
4 167 2016 Ford Model 5
4 159 2013 Hyundai Model 6
4 108 2013 Audi Model 61
4 102 2015 Honda Model 31
2 86 1996 Volkswagen Model 152
2 75 2012 Subaru Model 84
2 74 2015 Honda Model 120
2 71 2008 Acura Model 108
2 69 2018 Subaru Model 126
2 66 2010 Volkswagen Model 40
2 42 2001 Dodge Model 47
2 197 2010 Audi Model 119
2 184 2010 Volkswagen Model 39
2 179 2004 Volkswagen Model 71
2 177 2005 Volkswagen Model 13
2 174 2006 Acura Model 145
2 172 2014 Bmw Model 129
2 16 2008 Nissan Model 49
2 100 2006 Volvo Model 127
2 1 2012 Subaru Model 10
0 Vip 2008 Volkswagen Model 66
0 70 2014 Honda Model 103
0 237 1987 Volkswagen Model 167
0 111 2007 Bmw Model 34
0 101 2014 Honda Model 41
0 0 2015 Chevy Model 51
