Ranking	Car_ID	Year	Make	Model	Total
1	48	2015	Acura	TLX	58
2	124	2015	Jeep	Wrangler	118
3	222	2015	Lexus	Is250	36
4	207	1993	Honda	Civic eG	40
5	167	2016	Ford	Mystang	18
6	159	2013	Hyundai	Gen coupe	14
7	20	2009	Infiniti	G37	36
8	178	2009	Honda	Oddesy	66
9	30	2012	Hyundai	Celoster	62
10	1	2012	Subaru	WRX	6
11	51	2015	Subaru	WRX	48
12	183	2005	Volkswagen	Jetta	14
13	177	2005	Volkswagen	Jetta gli	10
14	5	2003	Acura	Rsx	46
15	218	2010	Chevy	Camaro	60
16	39	2011	Honda	Civic	68
17	68	2013	Nissan	Altima	8
18	10	2001	Nissan	S15	32
19	67	2015	Subaru	Sti	12
20	43	2011	Toyota	4 Runner	50
21	170	2014	Chevy	Cruze	46
22	216	2007	Chrystler	300	92
23	99	2014	Honda	Civic si	34
24	89	2014	Honda	Civic si	14
25	95	2004	Infiniti	G35	12
26	228	2010	Nissan	370	88
27	7	2014	Nissan	Sentra	26
28	14	1990	Nissan	Skyline	24
29	8	1991	Nissan	Skyline	40
30	145	1990	Volkswagen	Gti	36
31	102	2015	Honda	Accord	8
32	36	2016	Subaru	WRX	70
33	189	2012	Toyota	Fj cruiser	48
34	111	2007	Bmw	328i	6
35	140	1995	Mitsu	Evo8	44
36	161	2012	Nissan	370z	78
37	37	2015	Subaru	Sti	50
38	243	2008	Toyota	Matrix	10
39	184	2010	Volkswagen	Cc	8
40	66	2010	Volkswagen	Gti	4
41	101	2014	Honda	Civic	0
42	21	2009	Subaru	WRX	58
43	200	2016	Subaru	WRX	34
44	2	2016	Bmw	M2	22
45	23	1998	Subaru	Legacy	56
46	59	2012	Volkswagen	Golf	28
47	42	2001	Dodge	Viper	8
48	83	2014	Honda	Accord	106
49	16	2008	Nissan	350z	10
50	181	2003	Volkswagen	Gti	28
51	0	2015	Chevy	Camaro	0
52	88	2008	Honda	Accord	44
53	25	2012	Mercedes	C250	74
54	176	2014	Mitsu	Lancer	36
55	134	2013	Subaru	WRX	50
56	127	2013	Acura	Tsx	80
57	104	2014	Honda	Civic si	46
58	120	2014	Ford	Focus st	28
59	85	2017	Honda	Accord	38
60	Showcar	2014	Nissan	Gtr	40
61	108	2013	Audi	S4	12
62	98	2012	Mercedes	C63	24
63	130	2016	Honda	Civic si	24
64	12	1990	Nissan	240	58
65	232	2018	Subaru	WRX	46
66	Vip	2008	Volkswagen	Gli	16
67	96	2017	Volkswagen	Gti	8
68	15	2014	Audi	S4	114
69	65	2009	Honda	Fit	100
70	92	2017	Hyundai	Elantra sport	30
71	179	2004	Volkswagen	R32	36
72	63	2010	Honda	Civic	82
73	35	2016	Honda	Civic	56
74	79	1993	Mazda	Miata	16
