Car_ID,Mods_Overall,Ranking
112,6,1
113,6,1
124,6,1
126,6,1
127,6,1
128,6,1
13,6,1
142,6,1
15,6,1
158,6,1
161,6,1
178,6,1
23,6,1
31,6,1
50,6,1
65,6,1
83,6,1
91,6,1
103,4,2
1051,4,2
106,4,2
110,4,2
111,4,2
115,4,2
116,4,2
118,4,2
121,4,2
122,4,2
123,4,2
12,4,2
156,4,2
170,4,2
175,4,2
176,4,2
180,4,2
21,4,2
216,4,2
218,4,2
222,4,2
225,4,2
228,4,2
25,4,2
30,4,2
33,4,2
3,4,2
35,4,2
36,4,2
37,4,2
39,4,2
43,4,2
48,4,2
49,4,2
53,4,2
5,4,2
57,4,2
63,4,2
6,4,2
7,4,2
8,4,2
85,4,2
88,4,2
9,4,2
99,4,2
10,2,3
102,2,3
104,2,3
108,2,3
11,2,3
114,2,3
120,2,3
134,2,3
141,2,3
14,2,3
144,2,3
145,2,3
150,2,3
153,2,3
162,2,3
163,2,3
167,2,3
17,2,3
177,2,3
179,2,3
181,2,3
18,2,3
182,2,3
183,2,3
187,2,3
189,2,3
19,2,3
193,2,3
200,2,3
20,2,3
2,2,3
220,2,3
22,2,3
230,2,3
235,2,3
238,2,3
241,2,3
24,2,3
242,2,3
41,2,3
4341,2,3
44,2,3
45,2,3
51,2,3
52,2,3
56,2,3
67,2,3
68,2,3
74,2,3
79,2,3
84,2,3
89,2,3
94,2,3
96,2,3
98,2,3
