110 113 2012 Acura Tsx sportwagon     4
104 112 2008 Acura TL     6
96 50 2015 Acura TLX     9
80 127 2013 Acura Tsx     18
74 106 2007 Acura Tl type s     23
68 103 2010 Acura Tsx     27
62 41 2012 Acura Tsx     30
62 1051 2006 Acura Tsx     34
58 48 2015 Acura TLX     36
48 225 2016 Acura TLX     53
48 211 2004 Acura Tsx     54
46 5 2003 Acura Rsx     57
40 45 2006 Acura TL     67
40 121 2012 Acura TL     71
38 49 1997 Acura Integra     74
22 93 2005 Acura TL     110
18 230 2004 Acura Tsx     120
6 71 2008 Acura TL     155
4 174 2006 Acura Rsx     163
114 15 2014 Audi S4     3
36 18 2015 Audi S3     80
24 116 2008 Audi A4     108
12 220 2004 Audi A4     134
12 108 2013 Audi S4     136
2 197 2010 Audi A4     164
22 2 2016 Bmw M2     113
22 172 2014 Bmw 4     114
8 28 1995 Bmw 318xi     149
6 111 2007 Bmw 328i     160
60 218 2010 Chevy Camaro     35
46 170 2014 Chevy Cruze     59
0 0 2015 Chevy Camaro     167
92 216 2007 Chrystler 300     11
8 42 2001 Dodge Viper     148
54 137 2017 Ford Focus rs     43
28 120 2014 Ford Focus st     95
26 219 2016 Ford Focus rs     99
18 167 2016 Ford Mystang     123
106 83 2014 Honda Accord     5
100 65 2009 Honda Fit     7
96 31 2007 Honda Fit     10
88 175 2006 Honda Civic     13
86 13 2016 Honda Civic 1.5t     14
82 63 2010 Honda Civic     16
68 39 2011 Honda Civic     26
66 178 2009 Honda Oddesy     28
56 35 2016 Honda Civic     41
52 115 2001 Honda Crv     47
46 104 2014 Honda Civic si     60
44 88 2008 Honda Accord     61
40 207 1993 Honda Civic eG     68
40 118 1993 Honda Civic     72
38 85 2017 Honda Accord     73
38 44 2018 Honda Civic si     75
34 99 2014 Honda Civic si     84
24 130 2016 Honda Civic si     107
22 22 2007 Honda Civic     112
18 34 2010 Honda Fit     118
18 226 2008 Honda Accord     121
14 89 2014 Honda Civic si     126
14 4 2007 Honda Civic     127
8 102 2015 Honda Accord     152
6 74 2015 Honda Accord     154
4 72 2016 Honda Civic si     161
0 70 2014 Honda Civic     165
0 101 2014 Honda Civic     166
62 38 2017 Hyundai Elantra sport     31
62 30 2012 Hyundai Celoster     32
30 92 2017 Hyundai Elantra sport     90
14 159 2013 Hyundai Gen coupe     130
122 128 2010 Infiniti G37     1
40 122 2011 Infiniti M37s     70
36 20 2009 Infiniti G37     79
12 95 2004 Infiniti G35     131
118 124 2015 Jeep Wrangler     2
62 123 2006 Lexus Sc430     33
36 222 2015 Lexus Is250     78
10 190 1995 Lexus Sc300     139
6 212 2001 Lexus Is300     158
46 52 2007 Mazda Speed 3     56
36 78 2015 Mazda 6     77
24 141 1993 Mazda Miata     106
16 79 1993 Mazda Miata     125
10 138 1990 Mazda Miata     142
74 25 2012 Mercedes C250     22
68 84 2012 Mercedes Cl63amg     25
32 17 2016 Mercedes C43     88
24 98 2012 Mercedes C63     101
96 91 2010 Mitsu Lancer     8
44 140 1995 Mitsu Evo8     62
38 19 2001 Mitsu Evo7     76
36 176 2014 Mitsu Lancer     82
20 163 2013 Mitsu Ralliart     116
88 228 2010 Nissan 370     12
80 3 2011 Nissan 370     17
78 161 2012 Nissan 370z     20
58 158 2007 Nissan 350z     38
58 12 1990 Nissan 240     39
40 Showcar 2014 Nissan Gtr     63
40 9 1996 Nissan 240     64
40 8 1991 Nissan Skyline     65
34 162 2014 Nissan 370z     86
32 10 2001 Nissan S15     89
30 4341 1992 Nissan Rps13     91
28 11 1991 Nissan Skyline     96
26 7 2014 Nissan Sentra     97
24 242 2014 Nissan Maxima     103
24 14 1990 Nissan Skyline     105
20 150 2006 Nissan 350z     117
12 193 2014 Nissan Ssntra     135
10 16 2008 Nissan 350z     141
8 68 2013 Nissan Altima     147
76 57 2015 Scion Frs     21
18 235 2013 Scion Frs     119
70 36 2016 Subaru WRX     24
64 33 2015 Subaru Sti     29
58 21 2009 Subaru WRX     37
56 53 2013 Subaru WRX     40
56 23 1998 Subaru Legacy     42
50 37 2015 Subaru Sti     50
50 134 2013 Subaru WRX     51
48 51 2015 Subaru WRX     52
46 232 2018 Subaru WRX     58
40 153 2017 Subaru Brz     69
34 200 2016 Subaru WRX     85
30 24 2013 Subaru BRZ     92
24 187 2007 Subaru Legacy     104
12 76 2005 Subaru Sti     132
12 67 2015 Subaru Sti     133
8 69 2018 Subaru WRX     146
6 75 2012 Subaru WRX     153
6 64 2004 Subaru Forester     156
6 40 2007 Subaru Legacy     157
6 1 2012 Subaru WRX     159
54 110 2011 Toyota Camry     44
52 142 1993 Toyota Supra     46
50 43 2011 Toyota 4 Runner     49
48 189 2012 Toyota Fj cruiser     55
22 241 2007 Toyota Camry     111
10 243 2008 Toyota Matrix     137
86 126 2010 Volkswagen Eos     15
78 180 2011 Volkswagen Gti     19
52 156 2014 Volkswagen Gli     45
50 6 2016 Volkswagen Golf r     48
40 56 2009 Volkswagen Jetta     66
36 179 2004 Volkswagen R32     81
36 145 1990 Volkswagen Gti     83
32 46 2008 Volkswagen R32     87
28 59 2012 Volkswagen Golf     93
28 181 2003 Volkswagen Gti     94
26 238 1982 Volkswagen Rabbit     98
26 144 2016 Volkswagen Gti     100
24 81 2016 Volkswagen GTI     102
24 114 2010 Volkswagen Gti     109
18 182 2012 Volkswagen Cc     122
16 Vip 2008 Volkswagen Gli     124
14 186 2012 Volkswagen Gli     128
14 183 2005 Volkswagen Jetta     129
10 237 1987 Volkswagen Jetta     138
10 177 2005 Volkswagen Jetta gli     140
8 96 2017 Volkswagen Gti     143
8 94 2004 Volkswagen Gti     144
8 86 1996 Volkswagen Jetta     145
8 185 2013 Volkswagen Jett     150
8 184 2010 Volkswagen Cc     151
4 66 2010 Volkswagen Gti     162
22 100 2006 Volvo S60r     115
