110 113 2012 Acura Tsx sportwagon     4
104 112 2008 Acura TL     6
96 50 2015 Acura TLX     9
114 15 2014 Audi S4     3
36 18 2015 Audi S3     80
24 116 2008 Audi A4     108
22 2 2016 Bmw M2     113
22 172 2014 Bmw 4     114
8 28 1995 Bmw 318xi     149
60 218 2010 Chevy Camaro     35
46 170 2014 Chevy Cruze     59
0 0 2015 Chevy Camaro     167
92 216 2007 Chrystler 300     11
8 42 2001 Dodge Viper     148
54 137 2017 Ford Focus rs     43
28 120 2014 Ford Focus st     95
26 219 2016 Ford Focus rs     99
106 83 2014 Honda Accord     5
100 65 2009 Honda Fit     7
96 31 2007 Honda Fit     10
62 38 2017 Hyundai Elantra sport     31
62 30 2012 Hyundai Celoster     32
30 92 2017 Hyundai Elantra sport     90
122 128 2010 Infiniti G37     1
40 122 2011 Infiniti M37s     70
36 20 2009 Infiniti G37     79
118 124 2015 Jeep Wrangler     2
62 123 2006 Lexus Sc430     33
36 222 2015 Lexus Is250     78
10 190 1995 Lexus Sc300     139
46 52 2007 Mazda Speed 3     56
36 78 2015 Mazda 6     77
24 141 1993 Mazda Miata     106
74 25 2012 Mercedes C250     22
68 84 2012 Mercedes Cl63amg     25
32 17 2016 Mercedes C43     88
96 91 2010 Mitsu Lancer     8
44 140 1995 Mitsu Evo8     62
38 19 2001 Mitsu Evo7     76
88 228 2010 Nissan 370     12
80 3 2011 Nissan 370     17
78 161 2012 Nissan 370z     20
76 57 2015 Scion Frs     21
18 235 2013 Scion Frs     119
70 36 2016 Subaru WRX     24
64 33 2015 Subaru Sti     29
58 21 2009 Subaru WRX     37
54 110 2011 Toyota Camry     44
52 142 1993 Toyota Supra     46
50 43 2011 Toyota 4 Runner     49
86 126 2010 Volkswagen Eos     15
78 180 2011 Volkswagen Gti     19
52 156 2014 Volkswagen Gli     45
22 100 2006 Volvo S60r     115
