Total Car_ID Year Make Model--Ranking
122 128 2010 Infiniti Model 104
118 124 2015 Jeep Model 2
114 15 2014 Audi Model 68
110 113 2012 Acura Model 165
106 83 2014 Honda Model 48
104 112 2008 Acura Model 128
100 65 2009 Honda Model 69
96 91 2010 Mitsu Model 130
96 50 2015 Acura Model 90
96 31 2007 Honda Model 107
92 216 2007 Chrystler Model 22
88 228 2010 Nissan Model 26
88 175 2006 Honda Model 85
86 13 2016 Honda Model 166
86 126 2010 Volkswagen Model 155
82 63 2010 Honda Model 72
80 3 2011 Nissan Model 148
80 127 2013 Acura Model 56
78 180 2011 Volkswagen Model 117
78 161 2012 Nissan Model 36
76 57 2015 Scion Model 81
74 25 2012 Mercedes Model 53
74 106 2007 Acura Model 164
70 36 2016 Subaru Model 32
68 84 2012 Mercedes Model 143
68 39 2011 Honda Model 16
68 103 2010 Acura Model 118
66 178 2009 Honda Model 8
64 33 2015 Subaru Model 83
62 41 2012 Acura Model 95
62 38 2017 Hyundai Model 110
62 30 2012 Hyundai Model 9
62 123 2006 Lexus Model 80
62 1051 2006 Acura Model 142
60 218 2010 Chevy Model 15
58 48 2015 Acura Model 1
58 21 2009 Subaru Model 42
58 158 2007 Nissan Model 131
58 12 1990 Nissan Model 64
56 53 2013 Subaru Model 92
56 35 2016 Honda Model 73
56 23 1998 Subaru Model 45
54 137 2017 Ford Model 97
54 110 2011 Toyota Model 157
52 156 2014 Volkswagen Model 76
52 142 1993 Toyota Model 154
52 115 2001 Honda Model 86
50 6 2016 Volkswagen Model 135
50 43 2011 Toyota Model 20
50 37 2015 Subaru Model 37
50 134 2013 Subaru Model 55
48 51 2015 Subaru Model 11
48 225 2016 Acura Model 133
48 211 2004 Acura Model 137
48 189 2012 Toyota Model 33
46 52 2007 Mazda Model 99
46 5 2003 Acura Model 14
46 232 2018 Subaru Model 65
46 170 2014 Chevy Model 21
46 104 2014 Honda Model 57
44 88 2008 Honda Model 52
44 140 1995 Mitsu Model 35
40 Showcar 2014 Nissan Model 60
40 9 1996 Nissan Model 153
40 8 1991 Nissan Model 29
40 56 2009 Volkswagen Model 89
40 45 2006 Acura Model 141
40 207 1993 Honda Model 4
40 153 2017 Subaru Model 87
40 122 2011 Infiniti Model 163
40 121 2012 Acura Model 136
40 118 1993 Honda Model 144
38 85 2017 Honda Model 59
38 49 1997 Acura Model 112
38 44 2018 Honda Model 78
38 19 2001 Mitsu Model 79
36 78 2015 Mazda Model 122
36 222 2015 Lexus Model 3
36 20 2009 Infiniti Model 7
36 18 2015 Audi Model 109
36 179 2004 Volkswagen Model 71
36 176 2014 Mitsu Model 54
36 145 1990 Volkswagen Model 30
34 99 2014 Honda Model 23
34 200 2016 Subaru Model 43
34 162 2014 Nissan Model 116
32 46 2008 Volkswagen Model 111
32 17 2016 Mercedes Model 124
32 10 2001 Nissan Model 18
30 92 2017 Hyundai Model 70
30 4341 1992 Nissan Model 75
30 24 2013 Subaru Model 161
28 59 2012 Volkswagen Model 46
28 181 2003 Volkswagen Model 50
28 120 2014 Ford Model 58
28 11 1991 Nissan Model 151
26 7 2014 Nissan Model 27
26 238 1982 Volkswagen Model 106
26 219 2016 Ford Model 114
26 144 2016 Volkswagen Model 156
24 98 2012 Mercedes Model 62
24 81 2016 Volkswagen Model 134
24 242 2014 Nissan Model 147
24 187 2007 Subaru Model 125
24 141 1993 Mazda Model 123
24 14 1990 Nissan Model 28
24 130 2016 Honda Model 63
24 116 2008 Audi Model 96
24 114 2010 Volkswagen Model 94
22 93 2005 Acura Model 100
22 241 2007 Toyota Model 93
22 22 2007 Honda Model 102
22 2 2016 Bmw Model 44
22 172 2014 Bmw Model 129
22 100 2006 Volvo Model 127
20 163 2013 Mitsu Model 91
20 150 2006 Nissan Model 121
18 34 2010 Honda Model 158
18 235 2013 Scion Model 160
18 230 2004 Acura Model 82
18 226 2008 Honda Model 101
18 182 2012 Volkswagen Model 132
18 167 2016 Ford Model 5
16 Vip 2008 Volkswagen Model 66
16 79 1993 Mazda Model 74
14 89 2014 Honda Model 24
14 4 2007 Honda Model 139
14 186 2012 Volkswagen Model 138
14 183 2005 Volkswagen Model 12
14 159 2013 Hyundai Model 6
12 95 2004 Infiniti Model 25
12 76 2005 Subaru Model 88
12 67 2015 Subaru Model 19
12 220 2004 Audi Model 77
12 193 2014 Nissan Model 149
12 108 2013 Audi Model 61
10 243 2008 Toyota Model 38
10 237 1987 Volkswagen Model 167
10 190 1995 Lexus Model 159
10 177 2005 Volkswagen Model 13
10 16 2008 Nissan Model 49
10 138 1990 Mazda Model 146
8 96 2017 Volkswagen Model 67
8 94 2004 Volkswagen Model 150
8 86 1996 Volkswagen Model 152
8 69 2018 Subaru Model 126
8 68 2013 Nissan Model 17
8 42 2001 Dodge Model 47
8 28 1995 Bmw Model 113
8 185 2013 Volkswagen Model 115
8 184 2010 Volkswagen Model 39
8 102 2015 Honda Model 31
6 75 2012 Subaru Model 84
6 74 2015 Honda Model 120
6 71 2008 Acura Model 108
6 64 2004 Subaru Model 162
6 40 2007 Subaru Model 105
6 212 2001 Lexus Model 98
6 111 2007 Bmw Model 34
6 1 2012 Subaru Model 10
4 72 2016 Honda Model 140
4 66 2010 Volkswagen Model 40
4 174 2006 Acura Model 145
2 197 2010 Audi Model 119
0 70 2014 Honda Model 103
0 101 2014 Honda Model 41
0 0 2015 Chevy Model 51
