Car_ID,Make,Model,Year,Body_Frame_Total,Ranking
113,Acura,Tsx sportwagon,2012,30,1
124,Jeep,Wrangler,2015,30,1
112,Acura,TL,2008,28,2
15,Audi,S4,2014,28,2
50,Acura,TLX,2015,28,2
83,Honda,Accord,2014,28,2
126,Volkswagen,Eos,2010,26,3
128,Infiniti,G37,2010,26,3
180,Volkswagen,Gti,2011,26,3
110,Toyota,Camry,2011,24,4
127,Acura,Tsx,2013,24,4
13,Honda,Civic 1.5t,2016,24,4
156,Volkswagen,Gli,2014,24,4
161,Nissan,370z,2012,24,4
31,Honda,Fit,2007,24,4
91,Mitsu,Lancer,2010,24,4
175,Honda,Civic,2006,22,5
25,Mercedes,C250,2012,22,5
65,Honda,Fit,2009,22,5
106,Acura,Tl type s,2007,20,6
153,Subaru,Brz,2017,20,6
216,Chrystler,300,2007,20,6
3,Nissan,370,2011,20,6
30,Hyundai,Celoster,2012,20,6
63,Honda,Civic,2010,20,6
103,Acura,Tsx,2010,18,7
121,Acura,TL,2012,18,7
170,Chevy,Cruze,2014,18,7
222,Lexus,Is250,2015,18,7
23,Subaru,Legacy,1998,18,7
39,Honda,Civic,2011,18,7
115,Honda,Crv,2001,16,8
12,Nissan,240,1990,16,8
158,Nissan,350z,2007,16,8
21,Subaru,WRX,2009,16,8
211,Acura,Tsx,2004,16,8
228,Nissan,370,2010,16,8
24,Subaru,BRZ,2013,16,8
36,Subaru,WRX,2016,16,8
41,Acura,Tsx,2012,16,8
43,Toyota,4 Runner,2011,16,8
53,Subaru,WRX,2013,16,8
85,Honda,Accord,2017,16,8
118,Honda,Civic,1993,14,9
178,Honda,Oddesy,2009,14,9
33,Subaru,Sti,2015,14,9
35,Honda,Civic,2016,14,9
37,Subaru,Sti,2015,14,9
38,Hyundai,Elantra sport,2017,14,9
57,Scion,Frs,2015,14,9
78,Mazda,6,2015,14,9
84,Mercedes,Cl63amg,2012,14,9
88,Honda,Accord,2008,14,9
92,Hyundai,Elantra sport,2017,14,9
1051,Acura,Tsx,2006,12,10
134,Subaru,WRX,2013,12,10
137,Ford,Focus rs,2017,12,10
176,Mitsu,Lancer,2014,12,10
22,Honda,Civic,2007,12,10
225,Acura,TLX,2016,12,10
232,Subaru,WRX,2018,12,10
48,Acura,TLX,2015,12,10
8,Nissan,Skyline,1991,12,10
81,Volkswagen,GTI,2016,12,10
123,Lexus,Sc430,2006,10,11
140,Mitsu,Evo8,1995,10,11
142,Toyota,Supra,1993,10,11
144,Volkswagen,Gti,2016,10,11
18,Audi,S3,2015,10,11
20,Infiniti,G37,2009,10,11
200,Subaru,WRX,2016,10,11
207,Honda,Civic eG,1993,10,11
218,Chevy,Camaro,2010,10,11
238,Volkswagen,Rabbit,1982,10,11
241,Toyota,Camry,2007,10,11
45,Acura,TL,2006,10,11
51,Subaru,WRX,2015,10,11
56,Volkswagen,Jetta,2009,10,11
6,Volkswagen,Golf r,2016,10,11
98,Mercedes,C63,2012,10,11
10,Nissan,S15,2001,8,12
114,Volkswagen,Gti,2010,8,12
14,Nissan,Skyline,1990,8,12
145,Volkswagen,Gti,1990,8,12
189,Toyota,Fj cruiser,2012,8,12
19,Mitsu,Evo7,2001,8,12
219,Ford,Focus rs,2016,8,12
230,Acura,Tsx,2004,8,12
34,Honda,Fit,2010,8,12
52,Mazda,Speed 3,2007,8,12
7,Nissan,Sentra,2014,8,12
79,Mazda,Miata,1993,8,12
99,Honda,Civic si,2014,8,12
100,Volvo,S60r,2006,6,13
104,Honda,Civic si,2014,6,13
116,Audi,A4,2008,6,13
120,Ford,Focus st,2014,6,13
122,Infiniti,M37s,2011,6,13
141,Mazda,Miata,1993,6,13
159,Hyundai,Gen coupe,2013,6,13
167,Ford,Mystang,2016,6,13
179,Volkswagen,R32,2004,6,13
181,Volkswagen,Gti,2003,6,13
182,Volkswagen,Cc,2012,6,13
190,Lexus,Sc300,1995,6,13
2,Bmw,M2,2016,6,13
226,Honda,Accord,2008,6,13
235,Scion,Frs,2013,6,13
242,Nissan,Maxima,2014,6,13
46,Volkswagen,R32,2008,6,13
49,Acura,Integra,1997,6,13
5,Acura,Rsx,2003,6,13
59,Volkswagen,Golf,2012,6,13
69,Subaru,WRX,2018,6,13
93,Acura,TL,2005,6,13
95,Infiniti,G35,2004,6,13
102,Honda,Accord,2015,4,14
150,Nissan,350z,2006,4,14
16,Nissan,350z,2008,4,14
162,Nissan,370z,2014,4,14
163,Mitsu,Ralliart,2013,4,14
172,Bmw,4,2014,4,14
177,Volkswagen,Jetta gli,2005,4,14
185,Volkswagen,Jett,2013,4,14
193,Nissan,Ssntra,2014,4,14
220,Audi,A4,2004,4,14
237,Volkswagen,Jetta,1987,4,14
243,Toyota,Matrix,2008,4,14
28,Bmw,318xi,1995,4,14
44,Honda,Civic si,2018,4,14
