Car_ID,Make,Model,Year,Car_Overall,Ranking
172,Bmw,4,2014,6,1
186,Volkswagen,Gli,2012,6,1
83,Honda,Accord,2014,6,1
104,Honda,Civic si,2014,4,2
118,Honda,Civic,1993,4,2
12,Nissan,240,1990,4,2
124,Jeep,Wrangler,2015,4,2
127,Acura,Tsx,2013,4,2
128,Infiniti,G37,2010,4,2
142,Toyota,Supra,1993,4,2
175,Honda,Civic,2006,4,2
21,Subaru,WRX,2009,4,2
216,Chrystler,300,2007,4,2
218,Chevy,Camaro,2010,4,2
228,Nissan,370,2010,4,2
23,Subaru,Legacy,1998,4,2
232,Subaru,WRX,2018,4,2
25,Mercedes,C250,2012,4,2
3,Nissan,370,2011,4,2
31,Honda,Fit,2007,4,2
33,Subaru,Sti,2015,4,2
36,Subaru,WRX,2016,4,2
38,Hyundai,Elantra sport,2017,4,2
39,Honda,Civic,2011,4,2
41,Acura,Tsx,2012,4,2
43,Toyota,4 Runner,2011,4,2
48,Acura,TLX,2015,4,2
49,Acura,Integra,1997,4,2
5,Acura,Rsx,2003,4,2
57,Scion,Frs,2015,4,2
65,Honda,Fit,2009,4,2
84,Mercedes,Cl63amg,2012,4,2
9,Nissan,240,1996,4,2
1,Subaru,WRX,2012,2,3
10,Nissan,S15,2001,2,3
1051,Acura,Tsx,2006,2,3
106,Acura,Tl type s,2007,2,3
108,Audi,S4,2013,2,3
11,Nissan,Skyline,1991,2,3
112,Acura,TL,2008,2,3
113,Acura,Tsx sportwagon,2012,2,3
116,Audi,A4,2008,2,3
120,Ford,Focus st,2014,2,3
134,Subaru,WRX,2013,2,3
137,Ford,Focus rs,2017,2,3
140,Mitsu,Evo8,1995,2,3
145,Volkswagen,Gti,1990,2,3
15,Audi,S4,2014,2,3
158,Nissan,350z,2007,2,3
161,Nissan,370z,2012,2,3
178,Honda,Oddesy,2009,2,3
179,Volkswagen,R32,2004,2,3
18,Audi,S3,2015,2,3
180,Volkswagen,Gti,2011,2,3
182,Volkswagen,Cc,2012,2,3
187,Subaru,Legacy,2007,2,3
189,Toyota,Fj cruiser,2012,2,3
19,Mitsu,Evo7,2001,2,3
200,Subaru,WRX,2016,2,3
207,Honda,Civic eG,1993,2,3
211,Acura,Tsx,2004,2,3
219,Ford,Focus rs,2016,2,3
22,Honda,Civic,2007,2,3
24,Subaru,BRZ,2013,2,3
30,Hyundai,Celoster,2012,2,3
34,Honda,Fit,2010,2,3
37,Subaru,Sti,2015,2,3
42,Dodge,Viper,2001,2,3
4341,Nissan,Rps13,1992,2,3
44,Honda,Civic si,2018,2,3
45,Acura,TL,2006,2,3
46,Volkswagen,R32,2008,2,3
50,Acura,TLX,2015,2,3
51,Subaru,WRX,2015,2,3
52,Mazda,Speed 3,2007,2,3
53,Subaru,WRX,2013,2,3
56,Volkswagen,Jetta,2009,2,3
59,Volkswagen,Golf,2012,2,3
6,Volkswagen,Golf r,2016,2,3
63,Honda,Civic,2010,2,3
76,Subaru,Sti,2005,2,3
78,Mazda,6,2015,2,3
8,Nissan,Skyline,1991,2,3
81,Volkswagen,GTI,2016,2,3
88,Honda,Accord,2008,2,3
91,Mitsu,Lancer,2010,2,3
93,Acura,TL,2005,2,3
Vip,Volkswagen,Gli,2008,2,3
0,Chevy,Camaro,2015,0,4
100,Volvo,S60r,2006,0,4
101,Honda,Civic,2014,0,4
102,Honda,Accord,2015,0,4
103,Acura,Tsx,2010,0,4
110,Toyota,Camry,2011,0,4
111,Bmw,328i,2007,0,4
114,Volkswagen,Gti,2010,0,4
115,Honda,Crv,2001,0,4
121,Acura,TL,2012,0,4
122,Infiniti,M37s,2011,0,4
123,Lexus,Sc430,2006,0,4
126,Volkswagen,Eos,2010,0,4
13,Honda,Civic 1.5t,2016,0,4
130,Honda,Civic si,2016,0,4
138,Mazda,Miata,1990,0,4
14,Nissan,Skyline,1990,0,4
141,Mazda,Miata,1993,0,4
144,Volkswagen,Gti,2016,0,4
150,Nissan,350z,2006,0,4
153,Subaru,Brz,2017,0,4
156,Volkswagen,Gli,2014,0,4
159,Hyundai,Gen coupe,2013,0,4
16,Nissan,350z,2008,0,4
162,Nissan,370z,2014,0,4
163,Mitsu,Ralliart,2013,0,4
167,Ford,Mystang,2016,0,4
17,Mercedes,C43,2016,0,4
170,Chevy,Cruze,2014,0,4
174,Acura,Rsx,2006,0,4
176,Mitsu,Lancer,2014,0,4
177,Volkswagen,Jetta gli,2005,0,4
181,Volkswagen,Gti,2003,0,4
183,Volkswagen,Jetta,2005,0,4
184,Volkswagen,Cc,2010,0,4
185,Volkswagen,Jett,2013,0,4
190,Lexus,Sc300,1995,0,4
193,Nissan,Ssntra,2014,0,4
197,Audi,A4,2010,0,4
2,Bmw,M2,2016,0,4
20,Infiniti,G37,2009,0,4
212,Lexus,Is300,2001,0,4
220,Audi,A4,2004,0,4
222,Lexus,Is250,2015,0,4
225,Acura,TLX,2016,0,4
226,Honda,Accord,2008,0,4
230,Acura,Tsx,2004,0,4
235,Scion,Frs,2013,0,4
237,Volkswagen,Jetta,1987,0,4
238,Volkswagen,Rabbit,1982,0,4
241,Toyota,Camry,2007,0,4
242,Nissan,Maxima,2014,0,4
243,Toyota,Matrix,2008,0,4
28,Bmw,318xi,1995,0,4
35,Honda,Civic,2016,0,4
4,Honda,Civic,2007,0,4
40,Subaru,Legacy,2007,0,4
64,Subaru,Forester,2004,0,4
66,Volkswagen,Gti,2010,0,4
67,Subaru,Sti,2015,0,4
68,Nissan,Altima,2013,0,4
69,Subaru,WRX,2018,0,4
7,Nissan,Sentra,2014,0,4
70,Honda,Civic,2014,0,4
71,Acura,TL,2008,0,4
72,Honda,Civic si,2016,0,4
74,Honda,Accord,2015,0,4
75,Subaru,WRX,2012,0,4
79,Mazda,Miata,1993,0,4
85,Honda,Accord,2017,0,4
86,Volkswagen,Jetta,1996,0,4
89,Honda,Civic si,2014,0,4
92,Hyundai,Elantra sport,2017,0,4
94,Volkswagen,Gti,2004,0,4
95,Infiniti,G35,2004,0,4
96,Volkswagen,Gti,2017,0,4
98,Mercedes,C63,2012,0,4
99,Honda,Civic si,2014,0,4
