Class: Racer

Rank,Car_ID,Year,Make,Model,Score
1,128,2010,Infiniti,G37,18
2,3,2011,Nissan,370,16
3,57,2015,Scion,Frs,16

Class: Engine 

Rank,Car_ID,Year,Make,Model,Score
1,113,2012,Acura,Tsx sportwagon,32
2,65,2009,Honda,Fit,30
3,83,2014,Honda,Accord,30

Class: Body_Frame 

Rank,Car_ID,Year,Make,Model,Score
1,113,2012,Acura,Tsx sportwagon,30
2,124,2015,Jeep,Wrangler,30
3,15,2014,Audi,S4,28

Class: Mods 

Rank,Car_ID,Year,Make,Model,Score
1,124,2015,Jeep,Wrangler,48
2,128,2010,Infiniti,G37,48
3,15,2014,Audi,S4,46

Class: Mods_Overall 

Rank,Car_ID,Year,Make,Model,Score
1,13,2016,Honda,Civic 1.5t,6
2,15,2014,Audi,S4,6
3,23,1998,Subaru,Legacy,6

Class: Car_Overall 

Rank,Car_ID,Year,Make,Model,Score
1,83,2014,Honda,Accord,6
2,172,2014,Bmw,4,6
3,186,2012,Volkswagen,Gli,6
