Ranking,Score,Car_ID,Year,Make,Model
1,30,124,2015,Jeep,Wrangler
2,30,113,2012,Acura,Tsx sportwagon
3,28,83,2014,Honda,Accord
4,28,50,2015,Acura,TLX
5,28,15,2014,Audi,S4
6,28,112,2008,Acura,TL
7,26,180,2011,Volkswagen,Gti
8,26,128,2010,Infiniti,G37
9,26,126,2010,Volkswagen,Eos
10,24,91,2010,Mitsu,Lancer
11,24,31,2007,Honda,Fit
12,24,161,2012,Nissan,370z
13,24,156,2014,Volkswagen,Gli
14,24,13,2016,Honda,Civic 1.5t
15,24,127,2013,Acura,Tsx
16,24,110,2011,Toyota,Camry
17,22,65,2009,Honda,Fit
18,22,25,2012,Mercedes,C250
19,22,175,2006,Honda,Civic
20,20,63,2010,Honda,Civic
21,20,30,2012,Hyundai,Celoster
22,20,3,2011,Nissan,370
23,20,216,2007,Chrystler,300
24,20,153,2017,Subaru,Brz
25,20,106,2007,Acura,Tl type s
26,18,39,2011,Honda,Civic
27,18,23,1998,Subaru,Legacy
28,18,222,2015,Lexus,Is250
29,18,170,2014,Chevy,Cruze
30,18,121,2012,Acura,TL
31,18,103,2010,Acura,Tsx
32,16,85,2017,Honda,Accord
33,16,53,2013,Subaru,WRX
34,16,43,2011,Toyota,4 Runner
35,16,41,2012,Acura,Tsx
36,16,36,2016,Subaru,WRX
37,16,24,2013,Subaru,BRZ
38,16,228,2010,Nissan,370
39,16,211,2004,Acura,Tsx
40,16,21,2009,Subaru,WRX
41,16,158,2007,Nissan,350z
42,16,12,1990,Nissan,240
43,16,115,2001,Honda,Crv
44,14,92,2017,Hyundai,Elantra sport
45,14,88,2008,Honda,Accord
46,14,84,2012,Mercedes,Cl63amg
47,14,78,2015,Mazda,6
48,14,57,2015,Scion,Frs
49,14,38,2017,Hyundai,Elantra sport
50,14,37,2015,Subaru,Sti
51,14,35,2016,Honda,Civic
52,14,33,2015,Subaru,Sti
53,14,178,2009,Honda,Oddesy
54,14,118,1993,Honda,Civic
55,12,Showcar,2014,Nissan,Gtr
56,12,81,2016,Volkswagen,GTI
57,12,8,1991,Nissan,Skyline
58,12,48,2015,Acura,TLX
59,12,232,2018,Subaru,WRX
60,12,225,2016,Acura,TLX
61,12,22,2007,Honda,Civic
62,12,176,2014,Mitsu,Lancer
63,12,137,2017,Ford,Focus rs
64,12,134,2013,Subaru,WRX
65,12,1051,2006,Acura,Tsx
66,10,98,2012,Mercedes,C63
67,10,6,2016,Volkswagen,Golf r
68,10,56,2009,Volkswagen,Jetta
69,10,51,2015,Subaru,WRX
70,10,45,2006,Acura,TL
71,10,241,2007,Toyota,Camry
72,10,238,1982,Volkswagen,Rabbit
73,10,218,2010,Chevy,Camaro
74,10,207,1993,Honda,Civic eG
75,10,200,2016,Subaru,WRX
76,10,20,2009,Infiniti,G37
77,10,18,2015,Audi,S3
78,10,144,2016,Volkswagen,Gti
79,10,142,1993,Toyota,Supra
80,10,140,1995,Mitsu,Evo8
81,10,123,2006,Lexus,Sc430
82,8,99,2014,Honda,Civic si
83,8,79,1993,Mazda,Miata
84,8,7,2014,Nissan,Sentra
85,8,52,2007,Mazda,Speed 3
86,8,34,2010,Honda,Fit
87,8,230,2004,Acura,Tsx
88,8,219,2016,Ford,Focus rs
89,8,19,2001,Mitsu,Evo7
90,8,189,2012,Toyota,Fj cruiser
91,8,145,1990,Volkswagen,Gti
92,8,14,1990,Nissan,Skyline
93,8,114,2010,Volkswagen,Gti
94,8,10,2001,Nissan,S15
95,6,95,2004,Infiniti,G35
96,6,93,2005,Acura,TL
97,6,69,2018,Subaru,WRX
98,6,59,2012,Volkswagen,Golf
99,6,5,2003,Acura,Rsx
100,6,49,1997,Acura,Integra
101,6,46,2008,Volkswagen,R32
102,6,242,2014,Nissan,Maxima
103,6,235,2013,Scion,Frs
104,6,226,2008,Honda,Accord
105,6,2,2016,Bmw,M2
106,6,190,1995,Lexus,Sc300
107,6,182,2012,Volkswagen,Cc
108,6,181,2003,Volkswagen,Gti
109,6,179,2004,Volkswagen,R32
110,6,167,2016,Ford,Mystang
111,6,159,2013,Hyundai,Gen coupe
112,6,141,1993,Mazda,Miata
113,6,122,2011,Infiniti,M37s
114,6,120,2014,Ford,Focus st
115,6,116,2008,Audi,A4
116,6,104,2014,Honda,Civic si
117,6,100,2006,Volvo,S60r
118,4,Vip,2008,Volkswagen,Gli
119,4,9,1996,Nissan,240
120,4,89,2014,Honda,Civic si
121,4,74,2015,Honda,Accord
122,4,71,2008,Acura,TL
123,4,68,2013,Nissan,Altima
124,4,67,2015,Subaru,Sti
125,4,44,2018,Honda,Civic si
126,4,28,1995,Bmw,318xi
127,4,243,2008,Toyota,Matrix
128,4,237,1987,Volkswagen,Jetta
129,4,220,2004,Audi,A4
130,4,193,2014,Nissan,Ssntra
131,4,185,2013,Volkswagen,Jett
132,4,177,2005,Volkswagen,Jetta gli
133,4,172,2014,Bmw,4
134,4,163,2013,Mitsu,Ralliart
135,4,162,2014,Nissan,370z
136,4,16,2008,Nissan,350z
137,4,150,2006,Nissan,350z
138,4,102,2015,Honda,Accord
139,2,86,1996,Volkswagen,Jetta
140,2,75,2012,Subaru,WRX
141,2,4341,1992,Nissan,Rps13
142,2,42,2001,Dodge,Viper
143,2,212,2001,Lexus,Is300
144,2,186,2012,Volkswagen,Gli
145,2,184,2010,Volkswagen,Cc
146,2,183,2005,Volkswagen,Jetta
147,2,17,2016,Mercedes,C43
148,2,130,2016,Honda,Civic si
149,2,111,2007,Bmw,328i
150,2,11,1991,Nissan,Skyline
151,2,108,2013,Audi,S4
152,0,96,2017,Volkswagen,Gti
153,0,94,2004,Volkswagen,Gti
154,0,76,2005,Subaru,Sti
155,0,72,2016,Honda,Civic si
156,0,70,2014,Honda,Civic
157,0,66,2010,Volkswagen,Gti
158,0,64,2004,Subaru,Forester
159,0,40,2007,Subaru,Legacy
160,0,4,2007,Honda,Civic
161,0,197,2010,Audi,A4
162,0,187,2007,Subaru,Legacy
163,0,174,2006,Acura,Rsx
164,0,138,1990,Mazda,Miata
165,0,101,2014,Honda,Civic
166,0,1,2012,Subaru,WRX
167,0,0,2015,Chevy,Camaro
