Ranking,Score,Car_ID,Year,Make,Model
1,6,83,2014,Honda,Accord
2,6,186,2012,Volkswagen,Gli
3,6,172,2014,Bmw,4
4,4,9,1996,Nissan,240
5,4,84,2012,Mercedes,Cl63amg
6,4,65,2009,Honda,Fit
7,4,57,2015,Scion,Frs
8,4,5,2003,Acura,Rsx
9,4,49,1997,Acura,Integra
10,4,48,2015,Acura,TLX
11,4,43,2011,Toyota,4 Runner
12,4,41,2012,Acura,Tsx
13,4,39,2011,Honda,Civic
14,4,38,2017,Hyundai,Elantra sport
15,4,36,2016,Subaru,WRX
16,4,33,2015,Subaru,Sti
17,4,31,2007,Honda,Fit
18,4,3,2011,Nissan,370
19,4,25,2012,Mercedes,C250
20,4,232,2018,Subaru,WRX
21,4,23,1998,Subaru,Legacy
22,4,228,2010,Nissan,370
23,4,218,2010,Chevy,Camaro
24,4,216,2007,Chrystler,300
25,4,21,2009,Subaru,WRX
26,4,175,2006,Honda,Civic
27,4,142,1993,Toyota,Supra
28,4,128,2010,Infiniti,G37
29,4,127,2013,Acura,Tsx
30,4,124,2015,Jeep,Wrangler
31,4,12,1990,Nissan,240
32,4,118,1993,Honda,Civic
33,4,104,2014,Honda,Civic si
34,2,Vip,2008,Volkswagen,Gli
35,2,93,2005,Acura,TL
36,2,91,2010,Mitsu,Lancer
37,2,88,2008,Honda,Accord
38,2,81,2016,Volkswagen,GTI
39,2,8,1991,Nissan,Skyline
40,2,78,2015,Mazda,6
41,2,76,2005,Subaru,Sti
42,2,63,2010,Honda,Civic
43,2,6,2016,Volkswagen,Golf r
44,2,59,2012,Volkswagen,Golf
45,2,56,2009,Volkswagen,Jetta
46,2,53,2013,Subaru,WRX
47,2,52,2007,Mazda,Speed 3
48,2,51,2015,Subaru,WRX
49,2,50,2015,Acura,TLX
50,2,46,2008,Volkswagen,R32
51,2,45,2006,Acura,TL
52,2,44,2018,Honda,Civic si
53,2,4341,1992,Nissan,Rps13
54,2,42,2001,Dodge,Viper
55,2,37,2015,Subaru,Sti
56,2,34,2010,Honda,Fit
57,2,30,2012,Hyundai,Celoster
58,2,24,2013,Subaru,BRZ
59,2,22,2007,Honda,Civic
60,2,219,2016,Ford,Focus rs
61,2,211,2004,Acura,Tsx
62,2,207,1993,Honda,Civic eG
63,2,200,2016,Subaru,WRX
64,2,19,2001,Mitsu,Evo7
65,2,189,2012,Toyota,Fj cruiser
66,2,187,2007,Subaru,Legacy
67,2,182,2012,Volkswagen,Cc
68,2,180,2011,Volkswagen,Gti
69,2,18,2015,Audi,S3
70,2,179,2004,Volkswagen,R32
71,2,178,2009,Honda,Oddesy
72,2,161,2012,Nissan,370z
73,2,158,2007,Nissan,350z
74,2,15,2014,Audi,S4
75,2,145,1990,Volkswagen,Gti
76,2,140,1995,Mitsu,Evo8
77,2,137,2017,Ford,Focus rs
78,2,134,2013,Subaru,WRX
79,2,120,2014,Ford,Focus st
80,2,116,2008,Audi,A4
81,2,113,2012,Acura,Tsx sportwagon
82,2,112,2008,Acura,TL
83,2,11,1991,Nissan,Skyline
84,2,108,2013,Audi,S4
85,2,106,2007,Acura,Tl type s
86,2,1051,2006,Acura,Tsx
87,2,10,2001,Nissan,S15
88,2,1,2012,Subaru,WRX
89,0,Showcar,2014,Nissan,Gtr
90,0,99,2014,Honda,Civic si
91,0,98,2012,Mercedes,C63
92,0,96,2017,Volkswagen,Gti
93,0,95,2004,Infiniti,G35
94,0,94,2004,Volkswagen,Gti
95,0,92,2017,Hyundai,Elantra sport
