Ranking,Score,Car_ID,Year,Make,Model
1,0,100,2006,Volvo,S60r
1,6,186,2012,Volkswagen,Gli
2,2,Vip,2008,Volkswagen,Gli
3,2,81,2016,Volkswagen,GTI
1,4,43,2011,Toyota,4 Runner
2,4,142,1993,Toyota,Supra
3,2,189,2012,Toyota,Fj cruiser
1,4,36,2016,Subaru,WRX
2,4,33,2015,Subaru,Sti
3,4,232,2018,Subaru,WRX
1,4,57,2015,Scion,Frs
2,0,235,2013,Scion,Frs
1,4,9,1996,Nissan,240
2,4,3,2011,Nissan,370
3,4,228,2010,Nissan,370
1,2,91,2010,Mitsu,Lancer
2,2,19,2001,Mitsu,Evo7
3,2,140,1995,Mitsu,Evo8
1,4,84,2012,Mercedes,Cl63amg
2,4,25,2012,Mercedes,C250
3,0,98,2012,Mercedes,C63
1,2,78,2015,Mazda,6
2,2,52,2007,Mazda,Speed 3
3,0,79,1993,Mazda,Miata
1,0,222,2015,Lexus,Is250
2,0,212,2001,Lexus,Is300
3,0,190,1995,Lexus,Sc300
1,4,124,2015,Jeep,Wrangler
1,4,128,2010,Infiniti,G37
2,0,95,2004,Infiniti,G35
3,0,20,2009,Infiniti,G37
1,4,38,2017,Hyundai,Elantra sport
2,2,30,2012,Hyundai,Celoster
3,0,92,2017,Hyundai,Elantra sport
1,6,83,2014,Honda,Accord
2,4,65,2009,Honda,Fit
3,4,39,2011,Honda,Civic
1,2,219,2016,Ford,Focus rs
2,2,137,2017,Ford,Focus rs
3,2,120,2014,Ford,Focus st
1,2,42,2001,Dodge,Viper
1,4,216,2007,Chrystler,300
1,4,218,2010,Chevy,Camaro
2,0,170,2014,Chevy,Cruze
3,0,0,2015,Chevy,Camaro
1,6,172,2014,Bmw,4
2,0,28,1995,Bmw,318xi
3,0,2,2016,Bmw,M2
1,2,18,2015,Audi,S3
2,2,15,2014,Audi,S4
3,2,116,2008,Audi,A4
1,4,5,2003,Acura,Rsx
2,4,49,1997,Acura,Integra
3,4,48,2015,Acura,TLX
