Ranking,Score,Car_ID,Year,Make,Model
1,18,128,2010,Infiniti,G37
2,16,57,2015,Scion,Frs
3,16,3,2011,Nissan,370
4,16,216,2007,Chrystler,300
5,14,50,2015,Acura,TLX
6,14,31,2007,Honda,Fit
7,14,228,2010,Nissan,370
8,12,84,2012,Mercedes,Cl63amg
9,12,83,2014,Honda,Accord
10,12,218,2010,Chevy,Camaro
11,12,179,2004,Volkswagen,R32
12,12,15,2014,Audi,S4
13,12,124,2015,Jeep,Wrangler
14,10,9,1996,Nissan,240
15,10,36,2016,Subaru,WRX
16,10,137,2017,Ford,Focus rs
17,10,134,2013,Subaru,WRX
18,8,91,2010,Mitsu,Lancer
19,8,53,2013,Subaru,WRX
20,8,33,2015,Subaru,Sti
21,8,175,2006,Honda,Civic
22,8,140,1995,Mitsu,Evo8
23,8,123,2006,Lexus,Sc430
24,8,106,2007,Acura,Tl type s
25,6,Vip,2008,Volkswagen,Gli
26,6,Showcar,2014,Nissan,Gtr
27,6,8,1991,Nissan,Skyline
28,6,65,2009,Honda,Fit
29,6,6,2016,Volkswagen,Golf r
30,6,52,2007,Mazda,Speed 3
31,6,51,2015,Subaru,WRX
32,6,5,2003,Acura,Rsx
33,6,4341,1992,Nissan,Rps13
34,6,39,2011,Honda,Civic
35,6,38,2017,Hyundai,Elantra sport
36,6,37,2015,Subaru,Sti
37,6,25,2012,Mercedes,C250
38,6,232,2018,Subaru,WRX
39,6,219,2016,Ford,Focus rs
40,6,21,2009,Subaru,WRX
41,6,20,2009,Infiniti,G37
42,6,19,2001,Mitsu,Evo7
43,6,187,2007,Subaru,Legacy
44,6,178,2009,Honda,Oddesy
45,6,17,2016,Mercedes,C43
46,6,145,1990,Volkswagen,Gti
47,6,14,1990,Nissan,Skyline
48,6,120,2014,Ford,Focus st
49,6,113,2012,Acura,Tsx sportwagon
50,6,1051,2006,Acura,Tsx
51,6,104,2014,Honda,Civic si
52,6,100,2006,Volvo,S60r
